TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0,250295.5,226971.4,185710.7,149791,623.975,1406.72,180.8407,377.44,192.9162,439.04
0.0003885714,396567.4,281930.9,333183.9,190849.1,926.524,1535.52,335.5266,362.88,129.0837,301.28
0.005382857,298409.3,222418.6,270935.5,184513.3,705.493,1305.92,471.2275,445.76,163.9674,445.76
0.00576,259285.1,223678.6,196818.6,135167.2,-16.21263,1230.88,15331.76,15573.6,293.4301,730.24
0.006777143,175036.8,136286.1,205532.6,142713.8,349.1184,1118.88,379.7134,469.28,375.6196,395.36
0.006891428,407149.9,284247,335362.9,183232,352.2483,1604.96,330.7506,572.32,66.79992,266.56
0.007005714,403275.3,252297.9,448210.6,242881,766.932,1845.76,359.2337,433.44,862.6483,760.48
0.007257143,295454.2,220795.7,268538.5,174678.6,511.1689,1164.8,11230.16,10792.32,409.9943,607.04
0.008502857,406963.1,258873.4,479204.3,314618.1,1158.299,2132.48,16142.19,12628,547.5688,904.96
0.008697143,406477,279481.4,331949.5,210861.3,965.025,1462.72,307.2602,525.28,224.54,591.36
0.009188571,398612,291589.8,370781.5,196395.4,1286.96,1498.56,558.3989,620.48,132.9176,495.04
0.01234286,544600.6,406359.5,538080.9,347473.3,1788.977,2543.52,16490.68,14199.36,285.3834,390.88
0.01275429,345546.2,274159.2,272099.3,172327.7,2426.966,2432.64,23110.81,21405.44,288.5566,551.04
0.01293714,296763.5,197957.8,324155.1,229053.4,986.6526,2185.12,525.0097,608.16,303.5238,437.92
0.01605714,334862.2,265855.5,353317.7,216015.5,1681.229,2374.4,331.2163,543.2,375.6629,658.56
0.02009143,257090.5,200729.8,252949,178047.5,442.6578,1219.68,19513.43,19184.48,254.2686,517.44
0.02205714,273659.3,241338.7,198357.4,147655.2,799.6063,1323.84,305.3541,440.16,112.6112,272.16
0.02733714,387858.5,277332.2,389156.7,231310.2,928.4734,1080.8,274.7374,430.08,297.1882,481.6
0.02744,264581.4,221540.5,287994.4,189019,686.8002,1786.4,18863.08,19154.24,50.03496,546.56
0.02915429,379798.9,270811.5,272090.2,169995.8,624.1049,1255.52,1773.653,1640.8,159.5054,533.12
0.02965714,580841.9,429764.2,396015.1,219158.2,2469.561,3031.84,20975.2,19444.32,235.6084,377.44
0.03261714,250209.7,191671.2,260396,185908.8,1011.562,1337.28,305.6465,348.32,41.77161,583.52
0.03363429,386429.1,218993.6,533786.1,263574.1,949.3755,1451.52,557.5324,470.4,359.0821,568.96
0.03388571,590444.1,327418.6,559588.2,296929.9,1372.008,1769.6,19686.14,15428,467.6861,666.4
0.03484571,320277.2,230827.5,277847.2,185790.1,1092.051,2672.32,357.5875,375.2,340.0536,589.12
0.03803429,434719.8,303324,355494.9,177665.6,938.697,1485.12,287.2245,448,386.7854,525.28
0.03878857,376821.4,239481.8,407032.9,250624.6,1493.89,1958.88,16558.66,14558.88,355.8222,1023.68
0.03914286,368101.4,269389.1,303735.6,186713,952.0938,1139.04,377.6881,333.76,133.9897,443.52
0.04136,622593.2,530698.6,404460.6,254676.8,1303.909,1970.08,18590.97,17671.36,466.6356,530.88
0.04384,235077.8,206119.2,170885.8,123667,1039.265,2611.84,266.0842,374.08,382.0852,734.72
0.04691429,342714.2,244129.8,298474,168779.5,327.4799,937.44,419.9688,655.2,454.181,621.6
0.04694857,502637.5,325100.2,506457.5,256788,1186.143,1529.92,565.7092,469.28,353.2555,557.76
0.04829714,398406.9,273949.8,376888.8,234339.8,987.8006,1383.2,543.2909,515.2,371.5908,564.48
0.04851428,622344.1,411096,526712.4,282245.6,1732.553,1693.44,32637.05,26461.12,483.5847,657.44
0.05074286,306220.5,262852.8,269350,187248.3,1151.107,2294.88,16449.07,16334.08,389.5146,489.44
0.05193143,327022.9,262874.1,315464.9,217542.1,2232.491,2822.4,14291.12,13244,318.0036,898.24
0.05345143,421738.2,252864.6,551756.6,258903.7,1365.749,1535.52,2380.126,1850.24,443.5134,827.68
0.05542857,289059.5,208875.5,276413.4,179177.6,1607.584,1844.64,252.1351,437.92,69.66989,370.72
0.05658286,297646,237704.3,329656.2,243651.5,570.0195,1472.8,1855.225,1798.72,249.8716,460.32
0.05798857,316731.5,332640,285008.9,250327.8,1791.132,2027.2,410.0159,592.48,403.8644,575.68
0.05926857,224717.6,200378.1,189486.4,156092.2,245.8753,1135.68,401.3952,596.96,351.9775,696.64
0.06067429,291897.2,220302.9,293774.6,206877.4,594.3763,1280.16,460.9823,544.32,236.139,507.36
0.06068571,309648.1,287505.1,189037.6,131065.8,471.0326,1537.76,116.8024,212.8,262.0229,427.84
0.06112,483408.6,310638.7,428199.2,202455.7,2248.801,2414.72,806.6134,720.16,360.3167,491.68
0.06139429,364151.9,315813.1,295467.3,196719,1392.824,1762.88,19238.38,18997.44,525.3021,810.88
0.06492572,367091.1,314702.1,300666.3,204732.6,2692.032,2210.88,21238.38,21038.08,352.0642,729.12
0.06859428,511341.1,424725.3,318359.5,191665.6,540.0851,1777.44,23828.25,23290.4,521.2084,842.24
0.07012571,623059.1,416868.5,443887.3,200747.7,1471.97,1811.04,367.4537,339.36,370.6053,705.6
0.07092571,475841,425964,408743.4,309749.4,1380.889,1517.6,24369,24197.6,337.7468,686.56
0.07154286,578471.5,487219,358189.3,234169.6,1928.761,2387.84,26447.06,23630.88,548.2077,620.48
0.07198857,417466.5,244995.5,584694.3,303630.9,559.6443,1108.8,541.883,518.56,508.0823,515.2
0.07398857,554503.6,439115,447084.8,270051,617.7585,1832.32,22412.63,21340.48,549.1283,562.24
0.07580572,353236.2,281373.1,306255.9,188226.1,1665.038,2503.2,15481.24,15551.2,547.7421,555.52
0.07749714,318192.7,304768.8,153873.5,104425.4,907.0299,2263.52,74.48928,188.16,285.8708,646.24
0.07752,278385.9,275471.8,154220.6,112852.3,423.4669,1097.6,212.1287,361.76,262.6402,491.68
0.08056,543030.7,481031,378939.9,245557.8,1599.982,3003.84,20351.26,19451.04,415.7234,526.4
0.08067428,379041.7,282793.3,294621.8,162962.2,1317.901,1366.4,331.8011,325.92,314.5921,510.72
0.08256,399447.7,322884.8,395684.4,200671.5,1784.234,2395.68,15972.46,14965.44,287.9285,667.52
0.08256,435041.1,271760.2,588084.1,265959.7,874.5505,1939.84,2243.277,1795.36,261.5681,330.4
0.08419429,429852.6,293142.1,350909.7,173640.3,622.827,1402.24,365.0819,608.16,349.8549,561.12
0.08460572,392234.9,276482.1,347079.7,185033,936.3361,1574.72,825.826,876.96,483.368,563.36
0.08485714,289131.8,210899.4,309643.6,207399.4,1440.065,2033.92,12541.21,12387.2,398.0812,630.56
0.08554286,507623.4,333717.4,553641.5,270917.9,837.4467,1862.56,4515.396,3800.16,691.4355,752.64
0.08654857,494057.1,309049.4,526796.3,222498.1,934.7332,1824.48,647.0538,626.08,334.866,570.08
0.08753143,607375.1,424413.9,425849.3,226445,1155.764,2396.8,25665.01,20833.12,323.3103,500.64
0.08874286,415367.3,284551.7,462893.6,233152.6,-101.9435,937.44,455.6539,362.88,263.6907,393.12
0.08958858,408119.9,285956.2,375149.3,218557.9,931.2784,1641.92,515.5009,622.72,176.2162,332.64
0.09014857,247388.6,199096.8,247737.2,195002.1,317.4729,1348.48,319.3898,434.56,131.5096,487.2
