TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0,551245.6,359608.5,361949.9,207956,401.3952,687.68,517.1579,484.96,229.4027,736.96
0.0008914286,275913.7,256314.2,178581.6,113400,-80.52163,407.68,314.8412,491.68,312.6752,585.76
0.001737143,322332.8,332784.5,164616.4,122837.1,121.9034,415.52,190.6527,445.76,261.5139,392
0.003314286,509375.4,340016.3,352200.1,189291.2,329.2235,479.36,480.054,551.04,300.1123,430.08
0.00336,568845.2,356715.5,421596.9,187145.3,611.7261,604.8,471.2492,552.16,257.2793,537.6
0.003794286,357398.7,279602.4,262538.3,171808,280.3691,1108.8,348.6527,509.6,224.4425,580.16
0.004765714,467282.3,328272,323845,188801.8,490.8516,533.12,282.2968,334.88,438.9214,562.24
0.005474286,313537.4,224894.9,324342.2,222556.3,342.1222,581.28,385.4966,516.32,643.6857,813.12
0.005508571,293039.9,270100.3,210845.5,177501,309.4586,652.96,229.1211,389.76,341.6781,593.6
0.005885714,412921.2,291672.7,242870.3,146261.9,545.1428,664.16,385.6266,443.52,509.8043,633.92
0.00656,508468.1,362752.3,279063.7,157483.2,286.5855,340.48,326.8842,341.6,535.5798,805.28
0.007325714,411759.7,310266.9,258254.5,159889,88.77415,483.84,359.9052,408.8,28.58058,483.84
0.007634286,509788.5,337089.8,386497.9,192299.5,312.2528,468.16,469.8846,647.36,360.0243,710.08
0.009657143,402568.1,283076.7,263299,150520.2,232.4568,385.28,396.0018,523.04,290.9609,407.68
0.009931428,297781.6,324000.3,389231.8,291478.9,539.2729,1280.16,784.2818,879.2,1039.07,1382.08
0.01118857,323818.6,326812.7,137717.3,91131.04,204.8943,296.8,183.5049,339.36,316.1516,479.36
0.01136,284821.9,252002.2,274834.8,201044.5,301.9967,557.76,294.7406,467.04,403.4854,481.6
0.0128,308962.2,321197,133640.4,106928.6,-114.658,268.8,183.4832,247.52,326.6243,680.96
0.01337143,294994.4,294548.8,179820.2,126862.4,199.2951,579.04,150.4948,319.2,232.4026,381.92
0.01488,436378.7,315147.8,304275,176547.8,102.1493,329.28,395.2762,427.84,559.3411,570.08
0.01494857,263863.6,239316,219998.1,157972.6,60.35603,763.84,332.3859,413.28,298.5095,588
0.01603429,265148.3,236371.5,194993.3,125939.5,9.378848,595.84,374.4933,411.04,241.3591,404.32
0.01710857,314513.8,315751.5,197249.6,163581.6,269.3982,486.08,120.1597,256.48,184.2521,387.52
0.01877714,265465,235016.3,237479.2,175331.5,72.5182,453.6,334.1837,372.96,324.924,468.16
