TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0,445197.1,264769.1,444852.3,211084.2,942.7908,1159.2,858.3595,704.48,1604.292,2178.4
0.0001714286,540121.5,288075.2,438848.2,201960.6,176015.2,115388,17665.46,11783.52,9292.977,7921.76
0.001142857,607625.7,606158.6,441930.1,255386.9,85014.14,92764,9087.703,9786.56,4646.407,6568.8
0.001645714,399597.4,290585.1,301055.4,197806.6,7578.867,7938.56,1036.157,1228.64,960.8121,3237.92
0.002228571,364143.8,267876,302131.7,182906.1,1000.84,1267.84,488.3282,599.2,3825.227,3629.92
0.004468571,266726.2,207692.8,264248.8,177266.9,570.3444,880.32,638.2382,715.68,4953.797,7348.32
0.0048,330191.1,226037.3,217192.4,133222.9,43010.24,37134.72,3948.722,4046.56,3505.642,4594.24
0.005177143,438335.9,303508.8,359933.1,199960.3,75531.79,66309.6,8075.09,6272,2367.628,3150.56
0.005554286,416930.7,292427.5,537751.1,293435.5,3531.32,2422.56,706.3269,650.72,4864.708,4213.44
0.006434286,365216.8,307278.7,292980.9,152357,653.5627,860.16,712.5109,768.32,4767.682,6363.84
0.006651429,449638,311824.8,371595.1,227589.6,4982.833,4161.92,802.1622,785.12,3052.587,3441.76
0.008011429,542944.3,328768.2,428866.8,189879.2,145933.4,111260.8,15109.76,11958.24,6834.083,5158.72
0.00928,425484.9,288232,364383.9,210041.4,72482.61,61396.16,7526.958,6602.4,2574.288,5000.8
0.009851429,443435.8,279863.4,324775.8,176616.2,86611.93,69078.24,9253.608,8210.72,3767.308,4104.8
0.01210286,579544.4,335149.9,501793,269307.4,105296.4,75808.32,10832.14,7859.04,6097.085,6805.12
0.01448,404587.3,275521.1,308977.9,169925.3,65269.59,56958.72,7134.606,6627.04,3847.331,5790.4
0.01574857,314127.2,242346.7,210203,118026.7,102506.2,100432.6,10893.32,10911.04,4579.152,7176.96
0.01692571,556128.8,301803,521865.6,236719.8,191799.5,125164.5,19068.52,12984.16,6977.733,5415.2
0.01702857,316604.4,224793,381380.6,251798.4,1715.69,1986.88,541.6989,588,2572.469,4027.52
0.01786286,698996.9,406463.7,497604.2,182505.1,360205.6,238983.4,35985.6,23892.96,9348.805,7726.88
0.01837714,434549.5,264904.7,458334.6,240037.3,125568.3,89225.92,12519.73,8891.68,4373.489,4432.96
0.01915429,242650.3,236792.6,150570.6,125367.2,754.2283,1043.84,296.6142,420,4111.25,6032.32
0.02110857,405843.1,285666.1,380889.7,204148,18388.41,14547.68,2337.445,1896.16,2964.117,5103.84
0.02195428,477083.7,303068.7,365170.9,176336.2,92700.8,67277.28,9584.847,7290.08,5339.9,5558.56
0.02257143,566384.9,330157,509303.1,225424.6,93148.66,60224.64,9684.809,6714.4,5604.555,6713.28
0.02300571,567496.2,262175.2,607033.5,303992.7,71356.57,45209.92,7802.292,5147.52,7261.113,6566.56
0.02365714,525629.1,317215.4,422647.6,217357.3,87688.91,73044.16,9282.894,8159.2,5521.856,5195.68
0.02468571,579455.9,310494.3,618047.6,279042.4,110649.6,75124,11269.87,8723.68,7882.998,7627.2
0.02502857,449085.8,249599.8,554764.8,247159.4,3787.203,2815.68,678.6127,899.36,5427.949,4686.08
0.02564571,427235.9,437397,236672.3,189780.6,928.1486,1397.76,651.7216,731.36,4158.729,5323.36
0.02596571,488329.5,308371.8,549119.4,267394.4,1289.321,1401.12,593.8782,595.84,5299.829,4430.72
0.02665143,371738.6,261272.5,360519.1,239108.8,5911.176,5378.24,1024.699,922.88,1831.485,3334.24
0.02786286,459850.1,325352.2,467251.3,245995.7,1753.931,1338.4,611.0764,609.28,4818.638,5475.68
0.02948571,450595.9,311483.2,496115.5,305877.6,4953.699,4898.88,741.3297,797.44,2500.199,4446.4
0.03058286,530541.7,306428.7,486921.9,259735.8,82361.37,61504.8,8700.56,7586.88,6291.506,10194.24
0.03065143,440826.8,304100.2,350377.5,192017.3,1994.521,1728.16,613.2424,665.28,4544.712,3716.16
0.0312,444890,311261.4,367527.6,215251.7,82813.86,76313.44,8219.629,8012.48,5129.558,4805.92
0.03138286,300999.5,260767.4,202136.8,151713,42979.05,43639.68,4492.165,4835.04,3507.765,4220.16
0.03153143,291785.1,247880.6,186795.2,147986.7,40710.47,41015.52,4229.254,4963.84,4801.883,5485.76
0.03170286,398900.4,279599,457390.2,280277.8,4782.898,4215.68,765.8815,784,4345.796,4187.68
0.03275429,533895.3,341461.1,376827.3,172016.3,94145.55,73459.68,10017.24,7574.56,6064.681,6179.04
0.03408,567841,390343.5,560823.2,274822.3,118492,80640,11834.19,8830.08,6601.16,10194.24
0.03425143,210284.9,163196.3,220288.4,162854.7,52991.71,54508.16,5413.209,5679.52,3531.873,4396
0.03601143,539296.1,299726.6,541283.3,280425.6,87849.28,62118.56,9282.46,6846.56,4397.748,3383.52
0.03692571,295958,232677.8,236298.4,165329.9,49376.81,48405.28,4780.429,5416.32,4626.913,6015.52
0.03851429,528097.8,322198.3,531895.2,239833.4,1301.526,1395.52,609.441,619.36,3306.13,4540.48
0.03872,254489.1,206205.4,222214.2,143489.9,911.037,1114.4,532.2659,670.88,2623.857,3772.16
0.03902857,296382.3,282334.1,178565.9,119747,43005.19,47252.8,4428.311,4883.2,4744.17,4314.24
0.04064,235606.5,191810.1,234151.3,179654.7,51179.48,55389.6,5292.778,5883.36,2634.341,4919.04
0.04131429,518297.7,338100,428633.6,212297.1,88281.02,69588.96,9221.4,7385.28,4303.884,6698.72
0.04227429,559356.6,344229.8,511286.9,253011.4,50608.32,38903.2,5215.69,4071.2,5205.304,9595.04
0.04264,462059.5,321948.5,331355.3,194551.8,67168.91,56473.76,7170.183,6098.4,3147.871,4596.48
0.0428,312653.7,262905.4,264207,214813.8,37276.71,35967.68,4068.925,4150.72,3567.872,4510.24
0.04297143,597146.3,343441.3,576565.1,285107.2,86093.16,65116.8,9287.647,7656.32,4983.851,4114.88
0.04331429,261851.1,216098.4,219055.4,139538.6,550.6553,1003.52,406.6153,551.04,2927.392,3924.48
0.04340572,218351,196087.4,148191.7,117595.5,38900.97,41198.08,4206.814,4407.2,3693.533,6111.84
0.04465143,241998.8,204591.5,283649.3,219048.5,1138.187,1242.08,512.8042,715.68,4589.517,5718.72
0.04482286,456118.1,285352.5,366154.6,192033,77646.73,62330.24,8341.207,6903.68,5885.443,8120
0.04524571,312611.3,250566.4,259411.3,169160.3,80386.51,78393.28,8283.754,8740.48,3474.213,3586.24
0.04563428,522361.9,311673.6,471633.7,239592.6,94795.38,67594.24,10194.72,7240.8,8187.68,7498.4
0.04756571,309514.4,263961.6,236287.2,191171.7,45918.97,48420.96,4763.924,5026.56,2497.535,3356.64
0.04837714,388256.7,282959,385610.6,226199.7,5099.797,5162.08,767.9933,720.16,3547.728,3192
0.04926857,429838.1,363026.7,236295.5,136662.4,250963.4,247539,25093.09,25779.04,6175.82,6116.32
0.04937143,255285.9,226213.1,217803.3,155650.9,1208.745,1403.36,442.8527,598.08,1703.907,2056.32
0.05053714,578497.4,319065.6,538403.3,248640,123583.1,83718.88,12643.04,9111.2,7441.596,5635.84
0.05065143,450374.5,293797.3,433551.7,228088,531.3237,917.28,324.3717,417.76,3959.357,4996.32
0.05067429,243191.3,197489.6,228534,138521.6,734.2468,1464.96,426.261,539.84,4010.562,6102.88
0.05083429,318782.7,311375.7,187938,136862.9,50940.29,53587.52,5359.243,5947.2,4289.133,4835.04
0.05157714,446075.1,295106.6,412682.3,216104,112076.6,82716.48,11508.98,8774.08,6894.525,6817.44
0.05304,504536.1,283544.8,384297.2,166615.7,128328.9,94001.6,13352.44,10635.52,6595.236,6435.52
0.05337143,347065.9,255122.6,286088,174046.9,75504.27,75430.88,7662.334,7977.76,4184.255,7575.68
0.05384,497039,328712.2,365357.8,186204.5,59069.02,46980.64,6309.105,5990.88,4488.125,6199.2
0.05467429,435535.4,280257.6,345798.8,182180.3,75133.81,69503.84,8223.484,8016.96,4331.717,3573.92
0.05509714,518138.4,326198.9,572337.1,296637.6,8770.988,6945.12,1682.041,1453.76,3172.238,4140.64
0.05668572,464559.2,311590.7,365804.1,180729.9,67190.05,50423.52,7025.97,5802.72,7296.668,7977.76
0.05673143,443209.2,262930.1,421290.9,218979,89001.41,63339.36,9348.491,7031.36,5463.298,4217.92
0.05772571,521824.4,299418.6,471550.9,245937.4,80996.73,59773.28,8447.244,6163.36,5554.271,7523.04
0.0588,429316.6,445164.2,198539.4,177599.5,1758.122,2078.72,439.5062,673.12,5518.531,8201.76
0.06028571,337056,266773.9,273508.1,197051.7,2326.225,2428.16,450.0764,544.32,3231.208,3206.56
0.06133714,268295.5,257859.8,154127.9,95075.68,569.6838,901.6,203.4105,469.28,3705.858,4294.08
0.06186286,462243.3,247486.4,474443.9,247835.8,124767.1,85124.48,13355.06,9492,7542.846,6783.84
0.06274286,398651.9,262507.8,372095.3,233906.4,46830.54,42940.8,4918.545,4385.92,4040.031,6144.32
0.06317715,252895.5,221538.2,213466.3,148157,989.4684,1487.36,354.0786,598.08,2815.116,3193.12
0.06432,538737.8,358354.1,386335.1,199764.3,76762.14,60671.52,8076.271,6594.56,4183.854,6885.76
0.06664,376528.9,270060,344714.7,214727.5,1108.794,1345.12,463.549,472.64,4174.334,4624.48
0.06704,290322.7,273882.6,167736.4,113002.4,359.0929,873.6,208.6306,353.92,2753.515,5045.6
0.06709714,432179.4,297099,364104.7,222290.9,71943.49,59869.6,7682.013,6021.12,4818.529,4463.2
0.06734857,474073.7,312551.7,383728.7,197701.3,79747.05,57227.52,8504.286,6503.84,5212.397,4576.32
0.06757715,575226.4,354402.7,550311.7,233177.3,118840.6,79049.6,12567.74,8518.72,7213.092,8090.88
0.06844571,386033.6,257389.4,557162.4,292700.8,29750.67,22123.36,3428.424,2543.52,4551.708,6292.16
0.07099429,480528.2,305181,476127.8,217863.5,84896.85,70530.88,9126.475,7286.72,5878.144,6373.92
0.07314286,481913.7,305489,410132.4,194399.5,84849.33,58450.56,8167.005,5904.64,6099.153,8934.24
0.07333715,369353.8,250798.2,356903.7,244111.8,48219.17,44813.44,4926.928,4549.44,3678.837,3674.72
0.07426286,345751.9,246602.7,275717.1,173736.6,1664.247,2418.08,405.7489,478.24,1575.094,2894.08
0.07442286,474387.8,312243.7,355684.2,192929,78873.11,66784.48,8031.846,7224,3183.177,3977.12
0.07452571,467438.1,305951.5,563400.3,352480.8,3397.439,3245.76,987.0641,941.92,2807.2,3356.64
0.07718857,398927.2,277904.5,241252,139081.6,53684.21,47277.44,5984.658,5518.24,5201.806,5691.84
0.07894857,415905.6,346222.3,375755.1,244286.6,1101.516,1065.12,761.0513,888.16,4566.232,6440
0.08003429,610259.4,345849.3,505413.6,212355.4,103144,73641.12,11408.1,8245.44,4613.678,6012.16
0.08197714,628448.8,377789.4,594382.6,238100.8,208813.1,141517.6,20714.5,13863.36,6573.435,6347.04
0.08229715,406599.8,273812,310647.8,159780.3,63016.79,50024.8,6699.162,5529.44,5343.994,6795.04
0.08252572,262318.5,250569.8,200735.4,167521.8,3695.721,3925.6,672.4396,851.2,1790.818,3648.96
0.08274285,287943,233937.8,241871.5,164074.4,73157.77,72404.64,7065.25,7445.76,4684.626,5398.4
0.08288,368394.1,238418.9,335299.8,223760.3,11153.43,9525.6,1270.401,1453.76,3547.598,5295.36
0.084,566148.8,396947,547056.9,278466.7,20879.12,14532,2710.974,2029.44,4367.218,6742.4
0.08668572,510784.8,385353.9,565384.3,313927,111548,87508.96,11995.81,10175.2,7200.54,6998.88
0.08716571,619669.4,355847.5,491808.6,234615.4,118272.1,79858.24,12312.09,8930.88,7922.495,7829.92
0.08717714,384236.2,261925.4,396737.8,227913.3,1222.618,1478.4,399.7815,512.96,5001.438,4821.6
0.08870857,265757.5,242762.2,170083,107514.4,781.1844,1456,266.4741,476,3047.476,3735.2
