TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0,483879.8,397091.5,306197.1,180042.2,2322.142,2495.36,833.0821,935.2,2230.79,2888.48
0.0005714286,338511.9,240766.4,285617.1,173604.5,939.975,1817.76,390.6951,607.04,4183.627,6264.16
0.0008914286,290520.2,284421.8,156224.6,111851,309.0796,1270.08,228.0815,377.44,6056.169,7041.44
0.001565714,472358.6,295146.9,408252,197465,1510.85,1609.44,176.7144,265.44,8968.811,8540
0.001691429,548852.5,410483.4,602093.9,320669.4,-13.49428,1198.4,140.7802,287.84,5734.44,5461.12
0.001725714,268537.6,246011.4,293174.5,226667.8,512.5768,1178.24,370.2479,800.8,4957.609,5993.12
0.00264,462320.4,261941.1,553669.5,273465.9,1986.81,1715.84,696.3849,638.4,6085.703,6111.84
0.003005714,380446.8,269407,320277.5,168917.3,1414.051,2038.4,394.2798,505.12,8125.97,6913.76
0.003051429,401222.8,268720.5,451577.1,222061.3,857.2007,1108.8,370.3345,426.72,12387.03,10007.2
0.003417143,299262.4,283731.8,150376.8,102298.6,1065.084,1776.32,388.8106,667.52,5598.945,5552.96
0.003977143,217082.4,185877.4,171546,121274.7,20.62047,1758.4,185.4001,332.64,4337.219,4842.88
0.007417143,361158.4,258630.4,288443.6,180385,1304.32,1479.52,234.8178,358.4,3471.809,4226.88
0.007942857,498266.4,330046.1,375331.5,186080.2,1018.98,1423.52,365.5585,415.52,8626.785,6612.48
0.00896,313726.8,249944.8,371998.6,253433.6,473.6643,1260,447.9212,524.16,7946.202,11961.6
0.009302857,248390.7,209624.8,236494.1,192804.6,962.7831,2141.44,93.84263,245.28,7752.029,8501.92
0.009874286,245845.3,229333.4,170337,120821.1,118.7301,1335.04,324.5883,376.32,7093.127,7044.8
0.01042286,238035.4,212735,174589,128919.8,697.6628,1970.08,157.2419,265.44,9443.287,12069.12
0.01136,218195.7,190587,202688.2,151589.8,806.0827,1578.08,349.2375,387.52,5050.369,5611.2
0.01182857,336208.9,252217.3,255808.8,154574.6,212.2479,1561.28,255.0375,413.28,6941.636,8143.52
0.01337143,581846.2,376932.7,540645.9,207857.4,1544.878,2495.36,714.8935,807.52,14503.17,10383.52
0.01378286,362042.8,236484.6,398076.8,264585.4,1357.052,1516.48,292.1847,518.56,7447.65,8094.24
0.01460571,208584.5,161024.6,256292.2,182212.8,303.1664,1736,181.772,304.64,8212.741,8069.6
0.01465143,375952.1,275007,326199.8,212395.7,124.0369,1086.4,272.788,424.48,11094.31,11548.32
0.01776,470975.7,282253.4,440214.7,193853,1336.518,1404.48,348.3711,357.28,9045.726,10429.44
0.01816,503590.7,341264,395559.7,196584.6,674.3782,1451.52,680.4538,535.36,7381.11,6558.72
0.01834286,206872.2,154711.2,245095.8,194388.3,1356.944,1999.2,495.5952,591.36,3701.309,4141.76
0.01857143,296558.5,220570.6,274659.5,178841.6,979.4614,1647.52,451.5926,498.4,6393.526,6403.04
0.01877714,332575.1,324751.8,256260.4,166201.3,1530.583,2223.2,240.7202,517.44,5175.597,8448.16
0.01885714,400359.6,257312.2,411217.4,197627.4,590.1635,1046.08,660.2665,537.6,6379.999,7693.28
0.02067429,432640.2,263268.3,383866.7,198711.5,1070.878,1639.68,323.6569,372.96,12444.59,12116.16
0.02089143,243453,211992.5,278804.5,203430.1,592.1454,1090.88,171.2452,241.92,1625.161,2261.28
0.02114286,477895.6,291706.3,481147.4,248072.2,1629.775,1759.52,587.3801,529.76,11586.44,16427.04
0.02208,248083.5,209637.1,193447.8,133703.4,40.33121,938.56,315.9675,366.24,5532.091,6480.32
0.02209143,438774.3,307537.4,414466.4,246766.2,958.4511,1341.76,485.6099,502.88,12412.04,11895.52
0.02484571,307276.8,284875.4,208036.8,145248.3,1231.835,1513.12,158.9964,278.88,3326.74,4523.68
0.02521143,476326.3,341614.6,361781.6,238057.1,1667.55,1581.44,428.2105,454.72,10495.89,11547.2
0.02532571,504094.8,308098.6,498278.6,264383.8,1337.71,1821.12,601.1451,680.96,4201.475,3804.64
0.02577143,372755.1,267374.3,301918.2,167703.2,644.3572,1249.92,421.3767,416.64,6086.753,6080.48
0.02613714,490787.1,272703.2,623647.9,301058.3,466.224,1422.4,432.445,414.4,8265.018,9829.12
0.02633143,245308.2,215830.7,191557.6,129700.5,795.0577,1318.24,439.5387,721.28,3023.162,3935.68
0.02749714,263068.5,251078.2,142845.1,96716.48,-189.169,715.68,219.439,285.6,6122.276,7284.48
0.02915429,242150.4,192838.2,247432.3,168884.8,432.9432,1545.6,490.126,517.44,13833.44,14683.2
0.02930286,468907.3,328115.2,327299.4,186902.2,1109.022,2528.96,278.3438,392,6647.708,6711.04
0.03019429,601865.5,450283.7,459642.7,293838.7,1094.076,1471.68,304.9425,492.8,29526.31,34916
