POS;CASE_CTRL;INDUCER_1;DOSE_1;INDUCER_2;DOSE_2;INDUCER_3;DOSE_3;STRAIN;DOSE;NUM.IND
Tet-Cup-Est_str-1;CASE;TET;1;CUP;500;EST;0.01;Tet.Cup.Est;1/500/0.01;3
Tet-Cup-Est_med_1;CASE;TET;0.5;CUP;500;EST;0.005;Tet.Cup.Est;0.5/500/0.005;3
Tet-Cup-Est_weak_1;CASE;TET;0;CUP;0;EST;0;Tet.Cup.Est;0/0/0;3
Tet-Cup-Est_Str_2;CASE;TET;1;CUP;500;EST;0.01;Tet.Cup.Est;1/500/0.01;3
Tet-Cup-Est_Med_2;CASE;TET;0.5;CUP;500;EST;0.005;Tet.Cup.Est;0.5/500/0.005;3
Tet-Cup-Est_Weak_2;CASE;TET;0;CUP;0;EST;0;Tet.Cup.Est;0/0/0;3
Tet-Cup-Est_Str_3;CASE;TET;1;CUP;500;EST;0.01;Tet.Cup.Est;1/500/0.01;3
Tet-Cup-Est_Med_3;CASE;TET;0.5;CUP;500;EST;0.005;Tet.Cup.Est;0.5/500/0.005;3
Tet-Cup-Est_Weak_3;CASE;TET;0;CUP;0;EST;0;Tet.Cup.Est;0/0/0;3
Tet-Cup-Str_1;CASE;TET;1;CUP;500;;;Tet.Cup;1/500;2
Tet-Cup-Weak_1;CASE;TET;0;CUP;0;;;Tet.Cup;0/0;2
Tet-Cup_Str_2;CASE;TET;1;CUP;500;;;Tet.Cup;1/500;2
Tet-Cup_Weak_2;CASE;TET;0;CUP;0;;;Tet.Cup;0/0;2
Tet-Cup_Str_3;CASE;TET;1;CUP;500;;;Tet.Cup;1/500;2
Tet-Cup_Weak_3;CASE;TET;0;CUP;0;;;Tet.Cup;0/0;2
Tet-Est-Str_1;CASE;TET;1;EST;0.01;;;Tet.Est;1/0.01;2
Tet-Est-Weak_1;CASE;TET;0;EST;0;;;Tet.Est;0/0;2
Tet-Est_Str_2;CASE;TET;1;EST;0.01;;;Tet.Est;1/0.01;2
Tet-Est_Weak_2;CASE;TET;0;EST;0;;;Tet.Est;0/0;2
Tet-Est_Str_3;CASE;TET;1;EST;0.01;;;Tet.Est;1/0.01;2
Tet-Est_Weak_3;CASE;TET;0;EST;0;;;Tet.Est;0/0;2
TetON_1uM_1;CASE;TET;1;none;0;none;0;Tet;1;1
TetON_0.1uM_1;CASE;TET;0.1;none;0;none;0;Tet;0.1;1
TetON_0.01uM_1;CASE;TET;0.01;none;0;none;0;Tet;0.01;1
TetON_0.001uM_1;CASE;TET;0.001;none;0;none;0;Tet;0.001;1
TetON_0uM_1;CASE;TET;0;none;0;none;0;Tet;0;1
TetON_1uM_2;CASE;TET;1;none;0;none;0;Tet;1;1
TetON_0.1uM_2;CASE;TET;0.1;none;0;none;0;Tet;0.1;1
TetON_0.01uM_2;CASE;TET;0.01;none;0;none;0;Tet;0.01;1
TetON_0.001uM_2;CASE;TET;0.001;none;0;none;0;Tet;0.001;1
TetON_0uM_2;CASE;TET;0;none;0;none;0;Tet;0;1
TetON_1uM_3;CASE;TET;1;none;0;none;0;Tet;1;1
TetON_0.1uM_3;CASE;TET;0.1;none;0;none;0;Tet;0.1;1
TetON_0.01uM_3;CASE;TET;0.01;none;0;none;0;Tet;0.01;1
TetON_0.001uM_3;CASE;TET;0.001;none;0;none;0;Tet;0.001;1
TetON_0uM_3;CASE;TET;0;none;0;none;0;Tet;0;1
Cup_500;CASE;CUP;500;none;0;none;0;Cup;500;1
Estradiol_0.01;CASE;EST;0.01;none;0;none;0;Est;0.01;1
