FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
54977.839844,56449.242188,281.338745,52.158356,637.834351,9105.971680,9586.889648,99998.000000,4.740188,4.751658,2.449229,1.717324,2.804708,3.959326,3.981678,4.999991,100.000000
83340.640625,82505.375000,577.494812,148.435760,843.495056,63700.871094,63691.355469,46126.015625,4.920857,4.916482,2.761548,2.171539,2.926083,4.804145,4.804080,4.663946,197.000000
42578.144531,46445.730469,271.603363,45.306290,863.073730,17137.187500,16825.740234,73960.679688,4.629187,4.666946,2.433935,1.656158,2.936048,4.233940,4.225974,4.869001,549.000000
53079.914062,35352.355469,151.248138,43.807594,519.468140,10426.709961,12572.228516,56771.078125,4.724930,4.548419,2.179690,1.641549,2.715559,4.018147,4.099412,4.754127,661.000000
34001.730469,34544.269531,207.341339,54.733280,1120.174316,6334.912109,4446.086914,3299.160889,4.531501,4.538376,2.316686,1.738251,3.049286,3.801741,3.647978,3.518404,747.000000
18350.351562,64991.753906,203.838211,107.813675,1434.092651,12148.468750,13630.678711,99998.000000,4.263644,4.812858,2.309286,2.032674,3.156577,4.084522,4.134518,4.999991,846.000000
74664.101562,68613.171875,426.592072,128.351379,853.076233,32903.191406,35264.429688,45617.613281,4.873112,4.836408,2.630013,2.108401,2.930988,4.517238,4.547337,4.659132,1393.000000
69120.945312,80692.265625,494.255493,114.900108,1143.314697,18765.136719,19512.666016,65743.906250,4.839610,4.906832,2.693952,2.060320,3.058166,4.273352,4.290317,4.817855,1914.000000
55274.578125,33259.128906,208.729019,95.336868,788.246826,20965.898438,21371.083984,99998.000000,4.742526,4.521911,2.319583,1.979261,2.896662,4.321514,4.329826,4.999991,2198.000000
50224.339844,22355.250000,250.445847,59.901627,1162.477051,9615.662109,9264.352539,99998.000000,4.700914,4.349380,2.398714,1.777439,3.065384,3.982979,3.966815,4.999991,2383.000000
40762.500000,15863.443359,308.697662,58.227154,497.770935,6188.711914,3533.913086,0.000000,4.610261,4.200397,2.489533,1.765126,2.697030,3.791600,3.548256,0.000000,2900.000000
45711.242188,43412.128906,207.837830,57.850941,1139.441528,13373.829102,11294.603516,26307.015625,4.660023,4.637611,2.317725,1.762310,3.056692,4.126256,4.052871,4.420072,3601.000000
21189.777344,83758.609375,371.507263,96.986664,2382.185059,5032.063477,5759.470703,51541.191406,4.326127,4.923029,2.569967,1.986712,3.376976,3.701746,3.760383,4.712154,4357.000000
65903.625000,85107.320312,729.927124,125.693192,1316.041016,48150.699219,54293.402344,59400.097656,4.818909,4.929967,2.863280,2.099312,3.119269,4.682602,4.734747,4.773787,4607.000000
28573.861328,22590.511719,262.389160,34.019806,736.063782,13140.813477,12639.186523,99998.000000,4.455969,4.353926,2.418946,1.531732,2.866915,4.118622,4.101719,4.999991,4647.000000
34902.351562,34906.632812,257.751221,71.037003,843.186707,14108.407227,15818.321289,27066.984375,4.542855,4.542908,2.411201,1.851485,2.925924,4.149478,4.199161,4.432440,4785.000000
29967.076172,12360.423828,100.486710,24.509556,121.178596,4692.787598,5736.355957,99998.000000,4.476645,4.092033,2.002109,1.389335,2.083426,3.671431,3.758636,4.999991,5135.000000
61722.375000,37631.523438,379.509552,150.557373,261.803253,8621.076172,6074.268555,30193.386719,4.790442,4.575552,2.579223,2.177702,2.417975,3.935561,3.783494,4.479912,5577.000000
36669.207031,29522.521484,249.887680,55.649151,772.427246,11088.088867,9112.370117,0.000000,4.564301,4.470153,2.397745,1.745458,2.887858,4.044857,3.959631,0.000000,6332.000000
21963.931641,32428.152344,12.711171,44.171474,186.405838,2413.574463,1677.722534,99998.000000,4.341710,4.510922,1.104186,1.645142,2.270459,3.382661,3.224720,4.999991,7353.000000
34485.902344,37962.125000,297.750397,71.690758,598.596863,11638.714844,13774.589844,64780.296875,4.537642,4.579350,2.473852,1.855463,2.777134,4.065905,4.139079,4.811443,7403.000000
40130.753906,44603.300781,365.567963,49.938065,719.827881,21803.636719,27279.166016,99998.000000,4.603477,4.649367,2.562968,1.698432,2.857229,4.338529,4.435831,4.999991,7610.000000
13486.209961,13130.553711,151.701447,13.278579,0.000000,5529.452148,4549.500000,0.000000,4.129890,4.118283,2.180990,1.123152,0.000000,3.742682,3.657964,0.000000,7643.000000
45837.574219,39750.976562,308.050079,84.845985,321.664795,10983.497070,10695.092773,99998.000000,4.661222,4.599348,2.488621,1.928631,2.507404,4.040740,4.029184,4.999991,7660.000000
29793.199219,37549.421875,198.605118,53.993183,382.790649,10041.519531,11954.373047,99998.000000,4.474117,4.574603,2.297990,1.732339,2.582961,4.001800,4.077527,4.999991,7689.000000
42360.539062,33736.847656,166.962860,66.321968,183.722992,11299.888672,12369.285156,99998.000000,4.626962,4.528104,2.222620,1.821657,2.264163,4.053074,4.092345,4.999991,7729.000000
45248.890625,26057.216797,309.070801,118.452576,792.156982,10214.166016,10470.199219,99998.000000,4.655608,4.415928,2.490058,2.073545,2.898811,4.009203,4.019955,4.999991,7748.000000
59428.300781,29926.259766,171.292435,58.350506,504.215942,9846.177734,12084.096680,99998.000000,4.773993,4.476052,2.233738,1.766045,2.702617,3.993268,4.082214,4.999991,8088.000000
27580.623047,34597.160156,287.009735,61.705612,260.853455,6639.055176,7177.499512,99998.000000,4.440604,4.539041,2.457897,1.790325,2.416397,3.822106,3.855973,4.999991,8127.000000
45206.382812,37997.503906,338.190552,58.051380,882.757202,12000.653320,15293.378906,55162.070312,4.655200,4.579755,2.529161,1.763813,2.945841,4.079205,4.184504,4.741641,8367.000000
31490.103516,32661.533203,245.949753,32.379257,513.778625,7946.982910,5682.172852,15047.150391,4.498174,4.514037,2.390846,1.510267,2.710776,3.900202,3.754514,4.177454,8760.000000
53959.125000,32854.042969,267.798035,63.975243,1259.608643,10142.231445,8742.640625,99998.000000,4.732065,4.516589,2.427807,1.806012,3.100236,4.006134,3.941643,4.999991,9324.000000
50135.808594,54310.289062,337.647797,64.403885,2388.836670,21012.037109,26192.753906,99998.000000,4.700148,4.734882,2.528464,1.808912,3.378186,4.322468,4.418181,4.999991,9743.000000
56859.441406,38156.621094,230.629730,70.642288,1017.646118,14289.188477,15358.208984,99998.000000,4.754803,4.581570,2.362915,1.849065,3.007597,4.155007,4.186341,4.999991,10251.000000
34776.726562,35998.937500,366.295746,69.754173,1259.164551,18329.648438,18732.095703,99998.000000,4.541289,4.556290,2.563832,1.843570,3.100082,4.263154,4.272586,4.999991,10410.000000
29296.230469,22332.041016,191.043777,54.847378,299.147339,9126.010742,10709.854492,99998.000000,4.466812,4.348928,2.281133,1.739156,2.475885,3.960281,4.029784,4.999991,10681.000000
26297.593750,41262.839844,281.258575,63.429420,470.738892,14149.402344,21887.664062,99998.000000,4.419916,4.615559,2.449106,1.802291,2.672780,4.150738,4.340199,4.999991,10704.000000
31530.291016,32370.246094,185.298782,48.655231,675.289429,12117.094727,13752.376953,99998.000000,4.498728,4.510146,2.267873,1.687129,2.829490,4.083398,4.138378,4.999991,10750.000000
39091.207031,44662.324219,330.351685,57.200272,416.465088,16601.748047,17516.576172,42488.312500,4.592079,4.649941,2.518976,1.757398,2.619579,4.220154,4.243449,4.628270,10992.000000
48418.546875,41268.300781,422.407440,75.736626,1372.735596,11676.197266,11814.026367,29324.785156,4.685012,4.615617,2.625731,1.879306,3.137587,4.067301,4.072398,4.467235,11177.000000
35389.417969,31982.542969,188.848160,43.684242,559.242188,30560.628906,39364.121094,88794.140625,4.548873,4.504913,2.276113,1.640325,2.747600,4.485162,4.595100,4.948384,11490.000000
89504.390625,75655.296875,755.497498,157.727066,1072.684692,42987.984375,50792.695312,52068.320312,4.951844,4.878839,2.878233,2.197906,3.030472,4.633347,4.705801,4.716574,11641.000000
