FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
49373.648438,29790.605469,682.079834,195.361023,8284.543945,15078.257812,13809.100586,99998.000000,4.693495,4.474079,2.833835,2.290838,3.918269,4.178351,4.140165,4.999991,83.000000
93071.882812,69063.882812,679.057800,217.733536,8670.091797,5893.018555,4157.415039,10271.541992,4.968819,4.839251,2.831907,2.337925,3.938024,3.770338,3.618823,4.011636,608.000000
55362.527344,20657.330078,508.946411,68.557678,5205.258301,20723.529297,27791.830078,99998.000000,4.743216,4.315074,2.706672,1.836056,3.716442,4.316464,4.443917,4.999991,627.000000
36206.234375,32313.505859,219.614624,19.310371,5215.373047,9701.173828,12415.132812,99998.000000,4.558784,4.509384,2.341661,1.285791,3.717285,3.986824,4.093951,4.999991,802.000000
34699.460938,27032.902344,115.513771,126.205093,7038.393066,15765.835938,20449.212891,99998.000000,4.540323,4.431893,2.062634,2.101077,3.847474,4.197717,4.310677,4.999991,823.000000
47833.367188,54875.335938,412.582672,205.577438,8443.813477,18156.347656,19234.730469,59508.351562,4.679731,4.739377,2.615511,2.312975,3.926539,4.259028,4.284086,4.774578,873.000000
39947.644531,30097.185547,441.668488,195.515198,5752.736328,14198.387695,18308.359375,69158.664062,4.601491,4.478526,2.645096,2.291181,3.759875,4.152239,4.262650,4.839847,1055.000000
39330.597656,42980.089844,517.426697,213.807938,8220.775391,27544.169922,31370.406250,45549.687500,4.594730,4.633267,2.713849,2.330024,3.914913,4.440030,4.496520,4.658485,1339.000000
91713.570312,99998.000000,1663.233032,281.841400,8167.559570,64784.035156,77792.882812,57138.062500,4.962434,4.999991,3.220953,2.450005,3.912092,4.811468,4.890940,4.756926,1754.000000
26094.294922,23287.158203,306.727173,193.948669,9891.424805,7734.025879,9200.959961,99998.000000,4.416545,4.367116,2.486752,2.287687,3.995259,3.888406,3.963833,4.999991,1831.000000
47701.464844,33522.753906,425.022461,159.191849,7822.883789,20173.056641,23179.882812,99998.000000,4.678532,4.525340,2.628412,2.201921,3.893367,4.304772,4.365111,4.999991,1894.000000
59290.347656,28789.435547,446.593201,246.125519,5339.370117,14085.994141,14222.299805,99998.000000,4.772984,4.459233,2.649912,2.391157,3.727490,4.148787,4.152970,4.999991,1986.000000
47841.503906,52654.800781,317.187195,157.017807,5784.057617,4979.905273,4311.687012,99998.000000,4.679805,4.721438,2.501316,2.195949,3.762233,3.697221,3.634647,4.999991,2265.000000
86465.218750,40548.070312,338.057953,214.526459,8380.550781,8417.370117,10151.602539,99998.000000,4.936841,4.607970,2.528991,2.331481,3.923273,3.925176,4.006535,4.999991,2355.000000
37493.125000,38521.082031,260.723938,111.372307,5086.793457,9913.171875,7010.218750,0.000000,4.573952,4.585699,2.416181,2.046777,3.706444,3.996213,3.845731,0.000000,3148.000000
26979.408203,22949.312500,306.357117,81.296608,6826.703613,6523.858887,6107.365234,0.000000,4.431032,4.360770,2.486228,1.910072,3.834211,3.814505,3.785854,0.000000,3318.000000
26332.605469,32819.960938,283.047119,185.782928,5235.429688,24497.400391,25422.031250,47653.089844,4.420494,4.516138,2.451859,2.269006,3.718952,4.389120,4.405210,4.678091,3457.000000
30455.808594,32371.072266,128.002914,45.540653,7729.027344,12552.250977,12063.548828,39429.535156,4.483670,4.510157,2.107220,1.658399,3.888125,4.098722,4.081475,4.595822,3621.000000
28326.607422,36651.855469,203.582260,63.956741,5746.901855,6025.551270,7915.136719,99998.000000,4.452195,4.564096,2.308740,1.805886,3.759434,3.779997,3.898458,4.999991,4078.000000
22302.197266,28465.769531,326.882477,98.383598,6699.314453,8318.539062,9335.671875,99998.000000,4.348348,4.454323,2.514392,1.992923,3.826030,3.920047,3.970145,4.999991,4130.000000
24716.517578,31173.099609,80.467079,0.000000,6296.087891,6465.261719,8396.494141,99998.000000,4.392987,4.493780,1.905618,0.000000,3.799071,3.810586,3.924098,4.999991,4144.000000
38644.367188,22149.097656,365.349030,174.064713,4145.531738,4969.331055,2953.628418,99998.000000,4.587086,4.345356,2.562708,2.240711,3.617580,3.696298,3.470356,4.999991,4599.000000
29879.507812,44587.351562,474.479462,324.594330,8754.370117,11513.187500,13829.184570,99998.000000,4.475373,4.649212,2.676217,2.511341,3.942225,4.061195,4.140797,4.999991,4930.000000
67015.093750,34261.003906,477.652618,225.732758,5349.657715,23046.003906,27507.236328,99998.000000,4.826173,4.534800,2.679112,2.353595,3.728326,4.362596,4.439447,4.999991,4992.000000
24731.027344,27297.320312,224.036697,201.787521,3658.988525,6204.210938,6314.608398,27785.751953,4.393242,4.436120,2.350319,2.304894,3.563361,3.792686,3.800346,4.443822,5138.000000
26121.611328,31799.636719,194.768936,226.790482,5900.758789,21781.380859,19418.767578,20987.011719,4.417000,4.502422,2.289520,2.355625,3.770908,4.338085,4.288222,4.321950,5385.000000
38315.128906,45183.078125,268.195831,210.357239,7172.591309,34641.949219,41279.347656,56743.886719,4.583370,4.654976,2.428452,2.322958,3.855676,4.539602,4.615733,4.753919,5480.000000
37896.632812,30824.960938,208.392899,277.795532,6034.303223,24454.775391,19886.000000,24071.031250,4.578600,4.488903,2.318883,2.443725,3.780627,4.388364,4.298547,4.381495,6454.000000
37585.496094,19754.011719,335.998016,353.038757,6185.915039,7472.176758,5531.604492,99998.000000,4.575020,4.295655,2.526337,2.547822,3.791404,3.873447,3.742851,4.999991,6636.000000
35503.554688,20007.078125,173.916702,139.125961,6178.875000,8283.720703,8769.849609,99998.000000,4.550272,4.301184,2.240341,2.143408,3.790909,3.918226,3.942992,4.999991,7243.000000
64208.101562,48410.589844,375.102905,146.699615,8396.499023,12530.112305,12842.000977,99998.000000,4.807590,4.684940,2.574150,2.166429,3.924098,4.097955,4.108633,4.999991,7546.000000
