FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
33283.457031,27987.787109,266.441193,104.338303,6421.571289,26266.062500,29638.554688,99998.000000,4.522228,4.446969,2.425601,2.018444,3.807641,4.419395,4.471857,4.999991,305.000000
24429.787109,22749.324219,236.738617,124.888336,5217.065918,34500.585938,63287.527344,99998.000000,4.387920,4.356968,2.374269,2.096522,3.717426,4.537827,4.801318,4.999991,952.000000
34117.574219,16502.322266,234.160614,76.119011,5843.176270,20293.917969,23318.251953,76606.632812,4.532978,4.217545,2.369514,1.881493,3.766649,4.307366,4.367696,4.884266,1038.000000
19416.832031,37396.136719,253.837952,255.746796,6606.413574,8722.531250,7759.312988,99998.000000,4.288178,4.572827,2.404557,2.407810,3.819966,3.940643,3.889823,4.999991,1391.000000
41663.121094,49017.347656,421.312714,229.892731,6842.582031,24589.507812,24657.556641,56549.898438,4.619752,4.690350,2.624604,2.361525,3.835220,4.390750,4.391950,4.752432,1444.000000
16869.525391,21170.289062,15.884338,134.068619,5486.600098,5856.716797,5890.559570,99998.000000,4.227103,4.325727,1.200969,2.127327,3.739303,3.767654,3.770157,4.999991,1498.000000
40299.449219,28734.128906,348.474823,183.537964,2716.132324,50363.183594,54336.003906,64424.410156,4.605299,4.458398,2.542171,2.263726,3.433951,4.702113,4.735088,4.809051,1774.000000
41311.558594,20807.259766,198.685287,61.773453,2736.546875,17478.892578,19528.425781,99998.000000,4.616072,4.318215,2.298166,1.790802,3.437203,4.242514,4.290667,4.999991,3472.000000
41629.324219,36975.605469,51.732800,114.113754,2383.699219,20539.605469,27667.011719,99998.000000,4.619400,4.567915,1.713766,2.057338,3.377251,4.312592,4.441962,4.999991,3561.000000
34147.148438,22117.837891,363.467957,69.451965,4146.253418,5261.095703,5896.559082,99998.000000,4.533354,4.344743,2.560466,1.841685,3.617656,3.721076,3.770599,4.999991,3634.000000
33078.519531,19195.314453,127.352242,25.847898,3802.040283,23032.650391,25114.509766,99998.000000,4.519546,4.283195,2.105007,1.412425,3.580017,4.362344,4.399925,4.999991,3668.000000
39885.593750,19898.027344,380.650543,145.792999,5380.519531,16973.798828,19579.078125,99998.000000,4.600816,4.298810,2.580526,2.163737,3.730824,4.229779,4.291792,4.999991,3824.000000
33794.210938,23083.832031,215.867874,144.109283,1647.521362,16074.531250,19985.892578,99998.000000,4.528842,4.363308,2.334188,2.158692,3.216831,4.206138,4.300724,4.999991,4150.000000
30537.839844,24908.984375,225.162262,184.900970,6147.639648,18653.767578,22170.873047,99998.000000,4.484838,4.396356,2.352496,2.266939,3.788708,4.270767,4.345783,4.999991,4255.000000
80997.078125,46055.972656,346.060242,83.322624,3831.684082,9853.796875,6873.646484,0.000000,4.908469,4.663286,2.539152,1.920763,3.583390,3.993604,3.837187,0.000000,4647.000000
30444.111328,20310.083984,243.581436,34.241837,5259.125488,18392.878906,20806.468750,61634.558594,4.483503,4.307712,2.386644,1.534557,3.720914,4.264650,4.318198,4.789824,4747.000000
24181.312500,99998.000000,185.752090,80.248131,5695.807129,5273.384277,3453.965332,0.000000,4.383480,4.999991,2.268934,1.904435,3.755555,3.722090,3.538318,0.000000,4901.000000
41410.714844,31563.472656,298.370239,121.579483,3020.506592,24740.171875,29215.833984,99998.000000,4.617113,4.499185,2.474756,2.084860,3.480080,4.393403,4.465618,4.999991,5286.000000
46934.035156,41334.082031,453.106079,146.397415,6254.516113,31250.398438,31803.306641,60044.871094,4.671488,4.616308,2.656200,2.165533,3.796194,4.494855,4.502472,4.778476,5645.000000
41841.101562,32259.664062,343.106018,62.519718,5861.397949,26314.853516,30252.347656,99998.000000,4.621603,4.508660,2.535428,1.796017,3.768001,4.420201,4.480759,4.999991,6434.000000
37487.660156,20750.064453,442.787872,55.208176,5076.302734,7957.464355,10403.672852,99998.000000,4.573888,4.317019,2.646196,1.742003,3.705548,3.900775,4.017187,4.999991,6551.000000
71506.890625,45974.621094,311.432953,160.668961,3835.856445,42738.957031,45180.640625,60417.589844,4.854348,4.662518,2.493365,2.205932,3.583862,4.630824,4.654953,4.781163,6738.000000
32813.484375,24182.226562,94.128044,153.215561,3568.635010,3302.372803,2315.513672,99998.000000,4.516052,4.383496,1.973719,2.185303,3.552502,3.518826,3.364647,4.999991,6893.000000
66763.859375,57131.390625,546.679016,144.571838,9056.391602,26809.644531,29851.472656,99998.000000,4.824542,4.756875,2.737732,2.160084,3.956955,4.428291,4.474966,4.999991,7383.000000
42684.445312,48611.570312,474.735413,131.968597,4781.469727,27542.289062,35269.875000,99998.000000,4.630270,4.686739,2.676452,2.120471,3.679561,4.440000,4.547404,4.999991,8036.000000
46900.738281,99998.000000,663.879639,178.856842,7115.366211,99998.000000,99998.000000,99998.000000,4.671180,4.999991,2.822089,2.252506,3.852197,4.999991,4.999991,4.999991,8276.000000
56203.878906,52079.488281,438.023499,180.725586,5224.198730,42268.671875,45594.648438,40028.308594,4.749766,4.716667,2.641497,2.257020,3.718020,4.626019,4.658914,4.602367,8369.000000
33987.597656,30946.015625,264.745148,135.521072,4071.580566,3428.297119,2332.137695,0.000000,4.531321,4.490605,2.422828,2.132007,3.609763,3.535079,3.367754,0.000000,8423.000000
38502.914062,32858.453125,289.849854,65.304337,6056.839355,22081.515625,22351.023438,99998.000000,4.585494,4.516647,2.462173,1.814942,3.782246,4.344029,4.349298,4.999991,9277.000000
65597.531250,40976.453125,258.355621,112.507126,5489.079590,47542.093750,47714.796875,66513.195312,4.816887,4.612535,2.412218,2.051180,3.739500,4.677078,4.678653,4.822908,9319.000000
37727.628906,57606.640625,619.304199,148.454269,5722.719238,74167.960938,87795.445312,56481.425781,4.576660,4.760473,2.791904,2.171593,3.757602,4.870216,4.943472,4.751905,9610.000000
58614.257812,34012.628906,295.058289,113.925644,4929.930176,20814.367188,23952.642578,99998.000000,4.768003,4.531640,2.469908,2.056622,3.692841,4.318363,4.379354,4.999991,9733.000000
15125.994141,8270.506836,89.749130,79.504951,1842.207031,17083.453125,20496.134766,99998.000000,4.179724,3.917532,1.953030,1.900394,3.265338,4.232576,4.311672,4.999991,9775.000000
34616.527344,22394.265625,191.691376,148.617706,3817.730225,14994.636719,20322.906250,99998.000000,4.539283,4.350137,2.282603,2.172071,3.581805,4.175936,4.307986,4.999991,9795.000000
36420.625000,18636.587891,229.427078,117.749481,4388.190918,17272.564453,18714.130859,99998.000000,4.561347,4.270366,2.360645,2.070959,3.642286,4.237357,4.272170,4.999991,10245.000000
34117.871094,36942.621094,217.807556,241.968643,4694.316895,8542.819336,6997.752930,0.000000,4.532982,4.567528,2.338073,2.383759,3.671572,3.931601,3.844959,0.000000,10495.000000
35870.800781,21870.898438,197.242096,147.711090,4807.829102,16973.228516,16772.818359,99998.000000,4.554741,4.339867,2.295000,2.169413,3.681949,4.229764,4.224606,4.999991,10583.000000
49322.578125,45021.847656,552.568970,213.746262,3374.781982,25071.000000,32581.310547,64291.742188,4.693046,4.653423,2.742387,2.329899,3.528246,4.399172,4.512969,4.808155,10872.000000
32075.484375,30039.322266,388.588074,30.553684,3541.017090,26644.906250,34332.695312,79797.828125,4.506173,4.477690,2.589489,1.485064,3.549128,4.425614,4.535708,4.901991,11474.000000
33896.898438,16946.890625,18.517851,10.278101,4986.760254,24261.031250,23275.777344,72673.109375,4.530160,4.229090,1.267591,1.011913,3.697819,4.384909,4.366904,4.861374,11596.000000
97085.765625,99998.000000,1111.928345,256.326538,6994.453125,99998.000000,99998.000000,82735.882812,4.987155,4.999991,3.046077,2.408794,3.844754,4.999991,4.999991,4.917694,11828.000000
17792.322266,21930.146484,279.257202,185.123001,4211.789062,45105.355469,61958.296875,99998.000000,4.250233,4.341042,2.446004,2.267460,3.624467,4.654228,4.792099,4.999991,12561.000000
33091.925781,29883.609375,258.475891,35.074444,6580.865234,28830.501953,32253.156250,99998.000000,4.519722,4.475433,2.412420,1.544991,3.818283,4.459852,4.508572,4.999991,13403.000000
13058.400391,37075.703125,263.308105,57.027580,3005.229736,3478.596191,2439.196289,0.000000,4.115890,4.569089,2.420464,1.756085,3.477878,3.541404,3.387247,0.000000,14483.000000
43614.304688,41525.429688,454.669525,223.601898,3512.399902,31840.503906,40372.847656,99998.000000,4.639629,4.618314,2.657696,2.349475,3.545604,4.502980,4.606090,4.999991,14535.000000
33949.925781,31166.515625,220.212875,95.398544,4317.730957,9441.260742,8720.873047,99998.000000,4.530839,4.493688,2.342843,1.979542,3.635256,3.975030,3.940560,4.999991,14725.000000
44573.421875,68849.546875,515.662781,164.872086,3773.978271,46080.312500,51764.082031,48476.167969,4.649076,4.837901,2.712366,2.217147,3.576799,4.663516,4.714028,4.685528,14803.000000
44065.054688,34416.144531,264.473785,209.262512,4416.247070,29129.871094,34409.480469,99998.000000,4.644094,4.536762,2.422383,2.320691,3.645053,4.464339,4.536678,4.999991,14900.000000
43736.093750,36703.191406,416.138214,100.585388,5456.527832,32808.957031,40590.664062,57803.890625,4.640840,4.564704,2.619238,2.002535,3.736916,4.515993,4.608426,4.761957,15027.000000
60891.277344,85180.726562,737.584045,174.644455,3870.699707,56705.652344,69969.109375,59488.011719,4.784555,4.930341,2.867811,2.242155,3.587790,4.753626,4.844906,4.774429,15404.000000
45913.316406,24301.117188,303.994965,161.927124,3355.847900,26121.546875,33465.210938,99998.000000,4.661939,4.385626,2.482866,2.209320,3.525802,4.416999,4.524593,4.999991,15551.000000
47424.699219,52113.113281,372.327545,124.774239,5956.281250,28416.875000,32604.023438,99998.000000,4.676004,4.716947,2.570925,2.096125,3.774975,4.453576,4.513271,4.999991,15846.000000
46420.933594,45925.265625,417.399445,102.006996,6055.664062,19559.205078,23008.607422,99998.000000,4.666714,4.662052,2.620552,2.008630,3.782162,4.291351,4.361890,4.999991,16051.000000
30556.341797,33743.074219,329.321716,150.474121,2718.420654,10058.930664,11330.097656,60182.832031,4.485101,4.528184,2.517620,2.177462,3.434317,4.002552,4.054234,4.779473,16525.000000
33332.414062,15291.437500,254.340607,106.833046,3682.301758,27695.822266,29864.988281,62615.011719,4.522867,4.184448,2.405416,2.028706,3.566119,4.442414,4.475163,4.796679,16676.000000
35474.496094,26770.867188,274.844391,32.036961,4868.779297,18395.492188,22098.773438,99998.000000,4.549916,4.427662,2.439087,1.505651,3.687420,4.264711,4.344368,4.999991,16861.000000
63374.980469,46772.957031,498.461700,150.995270,5417.783691,26116.726562,28759.650391,99998.000000,4.801918,4.669995,2.697632,2.178963,3.733822,4.416919,4.458784,4.999991,17109.000000
14418.443359,13496.522461,188.983841,143.301346,2609.542969,4536.407715,7529.237793,99998.000000,4.158918,4.130222,2.276425,2.156250,3.416564,3.656712,3.876751,4.999991,18281.000000
36789.621094,28029.876953,287.879333,146.508423,4689.497070,37398.671875,46313.746094,65888.937500,4.565725,4.447621,2.459210,2.165863,3.671126,4.572856,4.665710,4.818812,18304.000000
72724.984375,83595.726562,534.871399,235.717911,6697.470215,27687.484375,33192.816406,99998.000000,4.861684,4.922184,2.728249,2.372393,3.825911,4.442284,4.521044,4.999991,18640.000000
36769.601562,40831.980469,330.265350,117.820404,5672.438965,20199.687500,23298.826172,99998.000000,4.565489,4.611001,2.518863,2.071220,3.753770,4.305345,4.367334,4.999991,18891.000000
31061.216797,20043.201172,244.383209,142.185028,5942.432617,10373.207031,8870.374023,52651.429688,4.492218,4.301967,2.388071,2.152854,3.773964,4.015913,3.947942,4.721410,19009.000000
52173.035156,62714.722656,446.445190,288.409760,6198.262695,57608.519531,67763.687500,60334.441406,4.717446,4.797369,2.649768,2.460010,3.792270,4.760487,4.830997,4.780565,19188.000000
45315.507812,41920.277344,390.737457,131.539963,6847.198242,30245.796875,33580.960938,63577.742188,4.656247,4.622424,2.591885,2.119058,3.835513,4.480665,4.526093,4.803305,19443.000000
37210.027344,22661.285156,174.675293,54.477329,3424.424072,17591.363281,20803.554688,81974.523438,4.570660,4.355285,2.242231,1.736216,3.534588,4.245299,4.318138,4.913679,19633.000000
34516.703125,26358.726562,158.769379,111.625175,4202.485352,9894.080078,11926.349609,99998.000000,4.538029,4.420924,2.200767,2.047762,3.623506,3.995375,4.076508,4.999991,19710.000000
