FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
47867.453125,23357.863281,263.557892,48.874176,377.181335,3843.831055,2897.201904,99998.000000,4.680040,4.368433,2.420876,1.689079,2.576550,3.584764,3.461979,4.999991,203.000000
81985.750000,66496.765625,337.950012,83.609406,154.748184,6165.318848,7001.452148,99998.000000,4.913738,4.822801,2.528852,1.922255,2.189626,3.789956,3.845188,4.999991,1289.000000
39304.675781,37007.777344,178.912354,41.827831,537.381592,6573.448730,4464.591309,99998.000000,4.594444,4.568293,2.252640,1.621465,2.730283,3.817793,3.649782,4.999991,2362.000000
36139.609375,45591.425781,286.164795,43.838428,430.008881,5748.588379,4557.397949,0.000000,4.557983,4.658883,2.456616,1.641855,2.633477,3.759561,3.658717,0.000000,2566.000000
58073.597656,29087.876953,355.996063,19.076008,1133.644043,4042.134033,3966.176514,99998.000000,4.763979,4.463712,2.551445,1.280488,3.054477,3.606611,3.598372,4.999991,3705.000000
44833.304688,55274.691406,257.449005,76.538399,955.024658,4390.096680,2836.972656,0.000000,4.651601,4.742527,2.410691,1.883879,2.980015,3.642474,3.452855,0.000000,5227.000000
20898.513672,8910.037109,221.474121,71.588997,424.029510,3184.478271,3639.111572,0.000000,4.320116,3.949879,2.345323,1.854846,2.627396,3.503038,3.560995,0.000000,5399.000000
40956.613281,23466.583984,252.561295,56.824055,752.497009,3421.710449,2895.482910,32960.996094,4.612324,4.370450,2.402367,1.754532,2.876505,3.534243,3.461721,4.518000,5439.000000
31796.205078,59115.562500,216.028229,26.282705,453.954102,3787.750244,3030.969971,99998.000000,4.502375,4.771702,2.334511,1.419670,2.657012,3.578381,3.481582,4.999991,7509.000000
51278.289062,78173.203125,417.038666,52.152191,523.871704,7344.176758,6109.577148,17008.085938,4.709934,4.893058,2.620176,1.717273,2.719225,3.865943,3.786011,4.230656,7972.000000
44276.257812,35107.738281,235.924515,44.877651,542.509827,5607.032715,3943.462158,0.000000,4.646171,4.545403,2.372773,1.652030,2.734408,3.748733,3.595878,0.000000,8928.000000
47541.687500,51979.906250,358.336609,101.997742,681.583374,4583.564453,5237.386230,99998.000000,4.677074,4.715836,2.554291,2.008590,2.833519,3.661203,3.719115,4.999991,9544.000000
63911.214844,88323.570312,483.046082,65.023712,480.218292,4450.306641,3937.520264,99998.000000,4.805577,4.946076,2.683989,1.813072,2.681439,3.648390,3.595223,4.999991,9647.000000
35387.074219,14615.114258,177.277969,38.364796,351.392029,3132.440186,2326.226074,0.000000,4.548845,4.164802,2.248655,1.583933,2.545792,3.495883,3.366652,0.000000,10429.000000
35245.300781,40085.425781,363.424774,26.668173,191.130127,3936.697754,3279.343262,99998.000000,4.547101,4.602986,2.560415,1.425993,2.281329,3.595132,3.515787,4.999991,13169.000000
34838.238281,66662.375000,285.776245,71.345383,593.345276,4800.048828,3151.341309,0.000000,4.542056,4.823881,2.456026,1.853366,2.773308,3.681246,3.498495,0.000000,13925.000000
40702.820312,45434.042969,290.451172,100.357193,1043.938110,9035.373047,8627.021484,26786.009766,4.609624,4.657382,2.463073,2.001549,3.018675,3.955946,3.935861,4.427908,14175.000000
30763.060547,61863.746094,138.725067,31.935198,681.913330,6025.150391,5865.444824,99998.000000,4.488029,4.791436,2.142155,1.504270,2.833729,3.779968,3.768301,4.999991,14487.000000
39660.929688,56856.574219,347.509613,24.484886,516.125366,7590.601562,7522.743652,35107.957031,4.598363,4.754781,2.540967,1.388898,2.712755,3.880276,3.876376,4.545405,14723.000000
34166.535156,33975.929688,223.749924,35.515419,1375.125488,4121.071289,3616.495361,99998.000000,4.533601,4.531171,2.349763,1.550417,3.138342,3.615010,3.558288,4.999991,14953.000000
25785.843750,29736.214844,130.260208,30.670866,362.579834,6156.480957,5977.217773,40323.792969,4.411381,4.473286,2.114812,1.486726,2.559404,3.789333,3.776499,4.605561,16093.000000
29863.927734,47331.527344,178.237015,54.030186,290.577606,6287.632324,3814.524414,99998.000000,4.475147,4.675150,2.250998,1.732636,2.463262,3.798487,3.581440,4.999991,16128.000000
59073.914062,44694.019531,375.864594,44.375000,755.423462,7618.213379,7105.477539,0.000000,4.771396,4.650249,2.575032,1.647138,2.878191,3.881853,3.851593,0.000000,16468.000000
69350.757812,59159.738281,276.364655,43.597897,790.393066,6972.919434,4943.482910,0.000000,4.841051,4.772026,2.441483,1.639466,2.897843,3.843415,3.694033,0.000000,16956.000000
61944.101562,30094.570312,198.194977,55.498047,453.143066,4405.654297,3621.521484,0.000000,4.792000,4.478488,2.297093,1.744278,2.656235,3.644010,3.558891,0.000000,17254.000000
61069.437500,22399.689453,157.785660,67.348854,742.191162,6810.471191,6149.401855,99998.000000,4.785824,4.350242,2.198067,1.828330,2.870516,3.833177,3.788833,4.999991,17410.000000
78638.148438,42424.277344,262.068451,34.917175,562.399963,5874.651855,5810.441406,0.000000,4.895633,4.627614,2.418415,1.543039,2.750045,3.768982,3.764209,0.000000,18627.000000
54676.777344,19654.060547,253.384644,44.587780,614.138916,5899.105957,3852.124512,0.000000,4.737803,4.293452,2.403780,1.649216,2.788267,3.770786,3.585700,0.000000,18828.000000
33061.546875,61927.320312,304.402008,58.495441,683.957825,8521.384766,5411.724609,0.000000,4.519323,4.791883,2.483448,1.767122,2.835029,3.930510,3.733336,0.000000,20411.000000
