FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
50598.269531,39704.324219,507.099243,68.428162,942.156189,5760.713867,8491.878906,18567.611328,4.704136,4.598838,2.705093,1.835235,2.974123,3.760476,3.929004,4.268756,582.000000
31189.158203,23995.222656,84.250824,7.345466,341.419220,5340.304688,3358.330322,99998.000000,4.494004,4.380125,1.925574,0.866019,2.533288,3.727566,3.526124,4.999991,1175.000000
49302.246094,24344.837891,270.958862,43.869267,732.088806,7419.537109,7575.508789,68255.031250,4.692867,4.386407,2.432903,1.642160,2.864564,3.870377,3.879412,4.834135,1406.000000
42373.421875,35045.054688,230.552643,20.833738,461.240967,3847.099854,3174.794189,0.000000,4.627093,4.544627,2.362770,1.318767,2.663928,3.585134,3.501716,0.000000,2745.000000
56923.003906,57692.375000,343.855377,82.477676,1120.245239,5014.199219,5935.096191,21843.437500,4.755288,4.761118,2.536376,1.916336,3.049313,3.700202,3.773428,4.339321,4382.000000
33792.535156,44952.960938,138.034317,74.697403,298.576843,6112.186035,6279.564453,99998.000000,4.528821,4.652758,2.139987,1.873306,2.475056,3.786196,3.797930,4.999991,4904.000000
89650.570312,82533.476562,598.380981,76.014160,1064.352417,5701.795898,5838.991211,99998.000000,4.952553,4.916630,2.776978,1.880895,3.027086,3.756012,3.766338,4.999991,5136.000000
52652.292969,83355.523438,409.850464,50.042912,1002.415527,6375.037598,5183.594238,99998.000000,4.721417,4.920934,2.612625,1.699343,3.001048,3.804483,3.714631,4.999991,5691.000000
40921.171875,31502.785156,259.493530,43.533138,543.290039,4973.049805,3717.680908,15600.821289,4.611948,4.498349,2.414127,1.638820,2.735032,3.696623,3.570272,4.193148,5796.000000
25159.810547,32531.605469,146.092117,65.628128,985.165100,5271.589844,3781.365479,0.000000,4.400707,4.512305,2.164627,1.817090,2.993509,3.721942,3.577649,0.000000,6275.000000
26724.058594,29631.492188,122.998001,20.556202,422.194672,4010.013672,4848.456055,99998.000000,4.426902,4.471754,2.089898,1.312943,2.625513,3.603146,3.685603,4.999991,7265.000000
