FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
52643.046875,48629.679688,300.084778,70.756386,770.280945,3030.698486,2758.892578,99998.000000,4.721341,4.686902,2.477244,1.849766,2.886649,3.481543,3.440735,4.999991,173.000000
43575.761719,45040.648438,464.944550,77.432678,983.583130,3998.903076,2710.585449,0.000000,4.639245,4.653605,2.667401,1.888924,2.992811,3.601941,3.433063,0.000000,592.000000
67787.328125,70514.421875,287.191681,54.110363,1144.175049,9671.980469,7045.308594,99998.000000,4.831149,4.848278,2.458172,1.733280,3.058492,3.985515,3.847900,4.999991,729.000000
46950.285156,33115.605469,422.873108,92.755775,747.350281,4315.926758,3193.131592,99998.000000,4.671638,4.520033,2.626210,1.967341,2.873524,3.635074,3.504217,4.999991,1173.000000
39943.281250,37847.550781,269.472504,53.287006,1555.265137,4405.660645,4457.836426,39823.152344,4.601444,4.578038,2.430515,1.726621,3.191804,3.644011,3.649124,4.600136,1214.000000
42851.007812,46506.945312,453.476105,82.699707,459.618927,4876.667480,4465.004395,0.000000,4.631961,4.667518,2.656554,1.917504,2.662398,3.688123,3.649822,0.000000,1366.000000
35950.640625,30169.650391,248.706619,46.956089,658.498474,3770.598389,4181.709961,99998.000000,4.555707,4.479570,2.395687,1.671692,2.818555,3.576410,3.621354,4.999991,2171.000000
96478.210938,92245.953125,546.197998,78.878952,863.045959,4768.977539,2102.172607,99998.000000,4.984429,4.964947,2.737350,1.896961,2.936034,3.678425,3.322668,4.999991,3166.000000
44483.902344,54889.132812,362.931366,58.464603,483.169434,5390.264160,4050.431396,0.000000,4.648203,4.739486,2.559824,1.766893,2.684099,3.731610,3.607501,0.000000,4115.000000
26917.228516,39499.632812,151.920395,51.720467,318.053741,3698.327881,3737.516357,20898.921875,4.430030,4.596593,2.181616,1.713662,2.502501,3.568005,3.572583,4.320124,4426.000000
32431.603516,14536.405273,263.305023,34.328178,394.225159,6273.813965,4796.821289,3600.562256,4.510968,4.162457,2.420459,1.535651,2.595744,3.797532,3.680954,3.556370,4688.000000
73813.101562,30888.503906,327.872345,69.356369,336.297119,4051.418945,2219.237305,0.000000,4.868134,4.489797,2.515705,1.841086,2.526723,3.607607,3.346204,0.000000,5437.000000
47285.320312,44458.085938,298.240723,39.323837,1080.171997,6278.874512,5319.124512,99998.000000,4.674726,4.647951,2.474567,1.594656,3.033493,3.797882,3.725840,4.999991,5962.000000
24770.048828,34407.250000,191.876389,37.923820,424.199097,7960.166016,4890.648438,0.000000,4.393927,4.536650,2.283021,1.578912,2.627570,3.900922,3.689366,0.000000,6387.000000
30443.035156,12475.817383,159.068497,41.812412,373.046051,3996.506836,2733.350342,0.000000,4.483488,4.096069,2.201584,1.621305,2.571763,3.601681,3.436695,0.000000,8385.000000
35395.253906,32146.662109,276.873474,26.393721,378.451843,7452.465332,9122.980469,99998.000000,4.548945,4.507136,2.442281,1.421501,2.578011,3.872300,3.960137,4.999991,8666.000000
58246.261719,40696.460938,177.305725,44.889984,902.030579,4214.388672,4578.642090,99998.000000,4.765268,4.609557,2.248723,1.652149,2.955221,3.624735,3.660737,4.999991,8744.000000
85495.835938,44346.160156,543.061829,88.410789,644.874512,3645.432617,3339.476562,6614.325684,4.931945,4.646856,2.734849,1.946505,2.809475,3.561749,3.523678,3.820486,9712.000000
52601.156250,44900.535156,404.595764,61.665524,639.672241,5015.118164,3607.034668,99998.000000,4.720995,4.652252,2.607021,1.790042,2.805958,3.700281,3.557150,4.999991,9991.000000
36466.332031,32517.406250,270.989716,88.386124,537.760864,4447.950684,2891.709473,0.000000,4.561892,4.512116,2.432953,1.946384,2.730589,3.648160,3.461155,0.000000,10069.000000
33865.476562,18614.433594,126.806419,39.388596,206.777023,5303.562012,4974.855469,99998.000000,4.529757,4.269850,2.103141,1.595371,2.315502,3.724568,3.696780,4.999991,10163.000000
38559.429688,33783.472656,154.082092,43.604065,1200.160278,5483.084961,3769.582764,99998.000000,4.586131,4.528704,2.187752,1.639527,3.079239,3.739025,3.576293,4.999991,10196.000000
41050.125000,83922.375000,420.008301,72.834824,680.137085,5187.819824,6401.352539,41689.746094,4.613315,4.923878,2.623258,1.862339,2.832597,3.714985,3.806272,4.620029,10339.000000
68538.789062,41516.746094,416.455841,74.685066,704.711426,7148.692383,6395.971680,47389.746094,4.835937,4.618223,2.619569,1.873234,2.848011,3.854227,3.805907,4.675684,10894.000000
40185.847656,30763.445312,248.981064,73.383728,270.616577,3657.326416,3196.248047,0.000000,4.604073,4.488035,2.396166,1.865600,2.432354,3.563164,3.504641,0.000000,11364.000000
42867.433594,47515.339844,362.672333,83.495308,920.915405,4253.678223,3285.810303,99998.000000,4.632127,4.676834,2.559515,1.921662,2.964220,3.628765,3.516643,4.999991,12058.000000
47815.429688,63808.726562,349.261169,61.082699,412.675171,5577.215820,4973.554199,99998.000000,4.679568,4.804880,2.543150,1.785918,2.615608,3.746418,3.696667,4.999991,12443.000000
41531.554688,47668.019531,419.992889,84.173737,1253.912964,6000.798340,4694.887695,99998.000000,4.618378,4.678227,2.623242,1.925177,3.098267,3.778209,3.671625,4.999991,12694.000000
56568.074219,78113.937500,459.520233,94.858887,721.230957,5390.449219,6536.871094,99998.000000,4.752572,4.892728,2.662305,1.977078,2.858074,3.731625,3.815370,4.999991,13427.000000
94113.507812,99998.000000,725.434143,88.194931,1349.585938,5563.021484,4712.394531,0.000000,4.973652,4.999991,2.860598,1.945444,3.130201,3.745311,3.673242,0.000000,13891.000000
63807.265625,47647.757812,363.110229,64.613579,705.047546,4439.661621,1865.508423,99998.000000,4.804870,4.678042,2.560039,1.810324,2.848218,3.647350,3.270797,4.999991,14640.000000
55756.285156,45610.214844,205.167313,37.590775,940.817871,5003.082520,5493.560059,99998.000000,4.746294,4.659062,2.312108,1.575081,2.973505,3.699238,3.739854,4.999991,14975.000000
38486.945312,41441.636719,318.278839,82.869308,806.286682,3830.089844,3539.033203,99998.000000,4.585313,4.617437,2.502808,1.918394,2.906489,3.583209,3.548885,4.999991,15224.000000
89158.398438,39163.242188,290.938416,68.625519,915.975281,3677.065430,2829.743896,1392.876465,4.950162,4.592879,2.463801,1.836486,2.961884,3.565501,3.451747,3.143913,15727.000000
