FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
4204.998535,19333.671875,558.236877,11.216145,37.159054,60.376522,24011.289062,45063.781250,3.623766,4.286314,2.746819,1.049844,1.570065,1.780868,4.380415,4.653828,319.000000
6396.389648,10324.523438,543.108093,3.411140,35.728199,820.767883,11350.580078,29311.398438,3.805935,4.013870,2.734886,0.532900,1.553011,2.914220,4.055018,4.467037,727.000000
15205.795898,21889.792969,913.002502,6.092758,124.885254,680.895691,21670.626953,24615.933594,4.182009,4.340241,2.960472,0.784814,2.096511,2.833081,4.335872,4.391216,1065.000000
7197.439941,9781.946289,5.054248,6.927915,13.327919,205.700790,9644.702148,25269.376953,3.857178,3.990425,0.703657,0.840603,1.124762,2.313236,3.984289,4.402595,1592.000000
7570.424316,9063.361328,344.583130,4.459301,34.167824,281.767365,8758.347656,21663.728516,3.879120,3.957289,2.537294,0.649267,1.533617,2.449891,3.942422,4.335733,1755.000000
6913.430664,21585.373047,570.322083,1.839924,47.079441,42.891724,25371.404297,39214.566406,3.839694,4.334159,2.756120,0.264800,1.672831,1.632373,4.404345,4.593447,1892.000000
5331.395508,10650.555664,282.883698,5.334759,28.555420,332.504120,10410.524414,23337.896484,3.726841,4.027372,2.451608,0.727115,1.455689,2.521797,4.017473,4.368062,1959.000000
8605.471680,11075.278320,600.804810,0.000000,59.991055,777.651062,11075.931641,25864.978516,3.934775,4.044354,2.778733,0.000000,1.778087,2.890785,4.044380,4.412712,2095.000000
9391.705078,9689.020508,618.591797,5.526321,62.550556,565.622437,9456.807617,21612.613281,3.972744,3.986280,2.791404,0.742436,1.796231,2.752527,3.975744,4.334707,2182.000000
8746.908203,37973.746094,29.597725,7.030875,22.662395,317.813202,35736.937500,15725.263672,3.941854,4.579484,1.471258,0.847009,1.355306,2.502172,4.553117,4.196598,2487.000000
12665.951172,17234.699219,801.038147,4.405525,74.515465,654.640747,16655.201172,19199.781250,4.102638,4.236404,2.903653,0.643998,1.872246,2.816003,4.221550,4.283296,3011.000000
6065.973145,10962.542969,432.645477,3.091576,52.432812,318.969604,11332.707031,26863.220703,3.782901,4.039911,2.636132,0.490180,1.719603,2.503749,4.054334,4.429158,3415.000000
7223.389648,10984.012695,371.032349,10.556576,34.584129,255.669693,11373.780273,27803.669922,3.858741,4.040761,2.569412,1.023523,1.538877,2.407679,4.055905,4.444102,3774.000000
11472.945312,9048.318359,197.673828,4.585476,23.084867,40.255127,9055.951172,27406.658203,4.059675,3.956568,2.295949,0.661384,1.363327,1.604821,3.956934,4.437856,4183.000000
10221.447266,19857.550781,6.420344,7.487392,15.693147,187.275452,19611.593750,26455.634766,4.009512,4.297925,0.807558,0.874331,1.195710,2.272481,4.292513,4.422518,4366.000000
8921.601562,9354.681641,473.033203,6.124268,47.603676,73.374481,9201.824219,24543.060547,3.950443,3.971029,2.674892,0.787054,1.677640,1.865545,3.963874,4.389929,4938.000000
5767.464355,11253.118164,44.587780,6.056579,29.320189,107.141418,10930.185547,22314.417969,3.760985,4.051273,1.649216,0.782227,1.467167,2.029957,4.038628,4.348586,5248.000000
7813.787109,10366.863281,260.270630,4.019739,29.529882,40.526493,10035.019531,21610.263672,3.892862,4.015647,2.415425,0.604198,1.470262,1.607739,4.001518,4.334660,5574.000000
6855.428711,8233.490234,11.104544,5.362770,21.425817,202.586212,8328.826172,26762.798828,3.836035,3.915584,1.045501,0.729389,1.330937,2.306610,3.920584,4.427532,6102.000000
4302.197754,6018.351074,4.422081,0.269936,13.256993,134.386246,5965.028809,26107.496094,3.633690,3.779478,0.645627,0.000000,1.122445,2.128355,3.775613,4.416765,6499.000000
6736.464355,11380.772461,423.591614,3.925846,34.029057,351.410522,11037.923828,20544.835938,3.828432,4.056172,2.626947,0.593933,1.531850,2.545815,4.042887,4.312703,6738.000000
6711.958008,12595.814453,1309.139648,7.823730,65.501694,539.521667,12871.007812,23466.904297,3.826849,4.100226,3.116986,0.893414,1.816253,2.732009,4.109612,4.370456,6807.000000
5684.977051,13040.742188,613.318604,4.321655,49.395329,623.454895,19034.228516,66298.945312,3.754729,4.115302,2.787686,0.635650,1.693686,2.794805,4.279535,4.821507,6832.000000
5932.348633,5434.479004,0.000000,0.428343,18.894068,598.969971,5381.187988,24137.978516,3.773227,3.735158,0.000000,0.000000,1.276325,2.777405,3.730878,4.382701,6863.000000
4758.640625,11566.508789,293.069275,7.907814,16.979065,596.971741,12030.978516,25238.537109,3.677483,4.063202,2.466970,0.898056,1.229914,2.775954,4.080301,4.402064,7307.000000
9853.729492,17215.199219,856.335754,5.217812,45.102764,390.592529,16637.845703,20552.740234,3.993601,4.235912,2.932644,0.717488,1.654203,2.591724,4.221097,4.312870,7365.000000
3395.782227,17007.605469,4.122959,5.847970,26.449226,24.364620,16441.865234,23605.156250,3.530940,4.230643,0.615209,0.767005,1.422413,1.386760,4.215951,4.373007,7418.000000
5626.928711,5249.312988,3.407531,4.401576,18.338995,146.810638,5287.300781,27746.402344,3.750271,3.720103,0.532440,0.643608,1.263376,2.166758,3.723234,4.443207,7520.000000
7059.115723,21987.312500,1960.625732,17.393936,163.037262,1344.510132,23814.406250,28416.712891,3.848750,4.342172,3.292395,1.240398,2.212287,3.128564,4.376840,4.453574,7766.000000
8089.318848,6861.818359,5.596986,1.794432,12.840688,232.264114,6395.781738,17566.162109,3.907912,3.836439,0.747954,0.253927,1.108588,2.365982,3.805894,4.244677,7824.000000
8862.190430,13002.627930,9.161788,3.270444,12.979456,354.670044,13134.235352,24923.396484,3.947541,4.114031,0.961980,0.514607,1.113256,2.549824,4.118405,4.396607,7944.000000
10824.181641,13500.299805,666.260254,2.193565,51.788307,355.237457,12761.944336,19241.152344,4.034395,4.130343,2.823644,0.341151,1.714232,2.550519,4.105917,4.284231,8389.000000
10731.056641,10981.625000,1123.439941,10.113426,83.045082,243.936066,11078.308594,24447.347656,4.030643,4.040667,3.050550,1.004898,1.919314,2.387276,4.044474,4.388232,8530.000000
5018.165039,5217.451660,87.396240,4.328465,24.136423,34.143154,5304.206055,25450.007812,3.700545,3.717458,1.941493,0.636334,1.382673,1.533304,3.724620,4.405688,8907.000000
3911.957031,8231.642578,5.649409,0.983710,8.871917,333.447754,7953.558105,20009.886719,3.592394,3.915487,0.752003,0.000000,0.948017,2.523028,3.900562,4.301245,9062.000000
14055.585938,21088.388672,1036.913330,10.683304,69.979286,99.009598,18806.367188,16943.755859,4.147849,4.324043,3.015743,1.028706,1.844970,1.995677,4.274305,4.229010,9265.000000
5943.554688,17404.669922,8.067060,6.112802,18.816975,78.866615,25727.498047,64235.476562,3.774046,4.240666,0.906715,0.786240,1.274550,1.896893,4.410398,4.807775,9520.000000
7324.776855,14880.840820,561.098572,7.121426,46.120396,462.314117,17062.287109,34642.292969,3.864794,4.172627,2.749039,0.852567,1.663893,2.664937,4.232037,4.539607,9750.000000
2735.649414,20121.062500,4.270978,5.526117,16.624435,313.677917,19820.824219,22252.394531,3.437060,4.303651,0.630527,0.742420,1.220747,2.496484,4.297122,4.347377,9933.000000
4996.702148,9561.501953,401.219086,10.407356,34.466949,179.122055,9427.625000,20188.640625,3.698684,3.980526,2.603382,1.017340,1.537403,2.253149,3.974402,4.305107,10379.000000
7965.158203,10570.383789,420.137817,0.618004,33.424644,754.115967,10392.524414,24245.742188,3.901194,4.024091,2.623392,0.000000,1.524067,2.877438,4.016721,4.384635,10919.000000
5357.330078,14672.790039,4.449835,3.054531,10.213343,43.597897,13925.791016,17175.306641,3.728948,4.166512,0.648344,0.484944,1.009168,1.639466,4.143820,4.234904,10956.000000
4923.990723,5797.730957,7.789524,3.525764,6.219901,250.313248,5792.511719,29066.507812,3.692317,3.763258,0.891511,0.547253,0.793783,2.398484,3.762867,4.463393,11279.000000
15772.497070,45720.566406,1810.493896,17.680267,125.603760,1187.270264,43166.867188,21859.660156,4.197900,4.660111,3.257797,1.247489,2.099003,3.074550,4.635150,4.339643,11315.000000
11210.815430,12010.144531,878.483154,1.203812,56.743877,290.660889,11642.742188,21810.558594,4.049637,4.079548,2.943733,0.080559,1.753919,2.463387,4.066055,4.338667,11406.000000
5260.790527,10721.841797,6.580698,7.139489,37.846725,90.057503,10603.722656,22427.201172,3.721051,4.030270,0.818272,0.853667,1.578028,1.954520,4.025458,4.350775,11689.000000
17504.925781,26274.033203,1287.500977,15.481277,114.607147,963.569702,25493.011719,23239.388672,4.243160,4.419527,3.109748,1.189807,2.059212,2.983883,4.406421,4.366225,12089.000000
4778.540039,11726.847656,311.639557,8.265953,28.274801,188.249908,11909.662109,22441.208984,3.679295,4.069181,2.493653,0.917293,1.451400,2.274735,4.075900,4.351046,12377.000000
9296.000977,10499.871094,8.091730,6.147046,21.928467,319.493835,10251.112305,23929.636719,3.968296,4.021184,0.908041,0.788666,1.341008,2.504462,4.010771,4.378936,12996.000000
7423.638672,7840.473633,373.477753,4.238808,37.020283,54.563675,7921.562500,24959.927734,3.870617,3.894342,2.572265,0.627244,1.568440,1.736904,3.898811,4.397243,13183.000000
13708.044922,14800.009766,1778.200928,15.357666,100.579224,726.948242,14408.862305,21069.998047,4.136975,4.170262,3.249981,1.186325,2.002508,2.861504,4.158630,4.323665,13453.000000
7679.283691,11435.583008,402.245972,4.470345,39.573620,572.400513,11393.376953,22158.279297,3.885321,4.058259,2.604492,0.650341,1.597406,2.757700,4.056653,4.345536,14003.000000
8639.149414,8467.404297,458.767822,8.497662,43.607151,476.826202,8567.646484,0.000000,3.936471,3.927750,2.661593,0.929299,1.639558,2.678360,3.932862,0.000000,14157.000000
15522.582031,99998.000000,3638.216553,44.706818,225.782104,2283.866211,89750.000000,4550.387695,4.190964,4.999991,3.560889,1.650374,2.353689,3.358671,4.953034,3.658048,14471.000000
15741.465820,20257.203125,898.089600,1.899315,61.067280,733.769470,18519.062500,16852.263672,4.197045,4.306580,2.953320,0.278597,1.785809,2.865560,4.267619,4.226658,14712.000000
8279.443359,6628.632324,5.643242,4.024967,28.228544,509.399719,6642.844238,26102.728516,3.918001,3.821424,0.751529,0.604762,1.450688,2.707059,3.822354,4.416686,15067.000000
9053.314453,10015.323242,520.528931,11.673504,54.375565,322.176697,9974.560547,23626.357422,3.956808,4.000665,2.716445,1.067201,1.735404,2.508094,3.998894,4.373397,15218.000000
5607.794434,12495.725586,590.616150,4.765114,71.595161,596.913147,19135.515625,70738.148438,3.748792,4.096762,2.771305,0.678073,1.854884,2.775911,4.281840,4.849654,15335.000000
11026.900391,7410.606445,19.976460,5.603498,5.849853,42.808460,7487.115234,28494.388672,4.042453,3.869854,1.300519,0.748459,0.767145,1.631530,3.874315,4.454759,15615.000000
7110.919434,16421.324219,677.028687,7.020370,53.342514,537.341492,19715.308594,39306.917969,3.851926,4.215408,2.830607,0.846360,1.727073,2.730250,4.294804,4.594469,15816.000000
4250.070312,7811.403320,1.184156,6.195325,18.490097,332.701477,7633.229492,22470.105469,3.628396,3.892729,0.073409,0.792064,1.266939,2.522055,3.882708,4.351605,15851.000000
7446.708008,14828.281250,452.649689,6.505596,29.067322,442.572021,15226.581055,22820.650391,3.871964,4.171091,2.655762,0.813287,1.463405,2.645984,4.182602,4.358328,16127.000000
8735.439453,20266.777344,703.126343,3.952026,67.993355,666.735168,21034.943359,24350.681641,3.941285,4.306785,2.847033,0.596820,1.832466,2.823953,4.322941,4.386511,17033.000000
12646.190430,11558.009766,646.718628,0.000000,51.794476,259.660065,12809.799805,35646.281250,4.101960,4.062883,2.810715,0.000000,1.714283,2.414405,4.107543,4.552014,17100.000000
5455.645508,16149.314453,766.124084,4.796951,58.026711,1180.510742,21059.367188,50334.203125,3.736846,4.208154,2.884299,0.680965,1.763628,3.072070,4.323445,4.701863,17150.000000
7044.073242,10155.879883,667.031189,6.393692,49.049950,132.520584,9644.685547,18858.646484,3.847824,4.006718,2.824146,0.805752,1.690639,2.122283,3.984288,4.275510,17370.000000
4481.477051,9631.838867,10.484712,5.429045,32.940498,41.377605,9331.413086,22081.531250,3.651421,3.983709,1.020556,0.734723,1.517730,1.616765,3.969947,4.344029,17548.000000
10227.404297,14276.643555,702.043945,4.754654,65.180984,446.491455,15557.965820,42822.992188,4.009766,4.154626,2.846364,0.677119,1.814121,2.649813,4.191953,4.631677,17866.000000
7601.048828,8959.216797,340.188812,10.014526,41.547211,452.443054,8943.710938,24002.068359,3.880873,3.952270,2.531720,1.000630,1.618542,2.655564,3.951518,4.380249,18005.000000
7579.077637,12979.863281,1240.063843,10.767334,98.432938,514.802429,17389.201172,50523.828125,3.879616,4.113270,3.093444,1.032108,1.993140,2.711641,4.240280,4.703496,18109.000000
6661.803711,13715.560547,594.995056,4.820938,40.538830,422.974854,14584.531250,28898.208984,3.823592,4.137214,2.774513,0.683132,1.607871,2.626315,4.163892,4.460871,18174.000000
7998.718750,7914.514160,516.785278,8.459774,57.462387,273.015717,7910.824219,26442.937500,3.903020,3.898424,2.713310,0.927359,1.759384,2.436188,3.898222,4.422310,18253.000000
14253.132812,30734.763672,800.985718,10.177986,105.389854,1286.689941,31187.876953,29406.847656,4.153910,4.487630,2.903625,1.007662,2.022799,3.109474,4.493986,4.468449,18414.000000
7828.274414,24565.667969,803.230713,13.004341,62.112667,598.664734,23687.019531,19396.648438,3.893666,4.390328,2.904840,1.114088,1.793180,2.777184,4.374510,4.287727,18512.000000
6212.124023,12762.219727,30.757210,6.740774,17.564976,225.341125,12527.064453,21885.404297,3.793240,4.105926,1.487947,0.828710,1.244648,2.352840,4.097849,4.340155,19055.000000
9961.531250,19794.755859,548.260986,13.575191,60.490620,967.270142,19456.458984,19959.736328,3.998326,4.296550,2.738987,1.132746,1.781688,2.985548,4.289064,4.300155,19296.000000
6374.143555,7136.110840,3.373610,5.493931,14.157445,180.007080,7107.821289,25999.875000,3.804422,3.853462,0.528095,0.739883,1.150985,2.255290,3.851737,4.414971,19729.000000
