FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
10206.215820,7856.114258,342.961090,5.778709,20.448271,35.154621,7747.351074,28748.720703,4.008865,3.895208,2.535245,0.761831,1.310657,1.545982,3.889153,4.458619,79.000000
12242.955078,14677.923828,796.400208,16.297340,44.880733,38.694756,15070.432617,29009.800781,4.087886,4.166665,2.901131,1.212117,1.652060,1.587652,4.178126,4.462545,201.000000
7023.264160,11195.698242,405.215607,8.757484,13.642460,52.442062,10896.782227,23782.806641,3.846539,4.049051,2.607686,0.942379,1.134893,1.719680,4.037298,4.376263,374.000000
7097.064453,10853.424805,372.999786,4.520489,23.482670,33.119354,10910.510742,25991.113281,3.851079,4.035567,2.571709,0.655185,1.370747,1.520082,4.037845,4.414825,424.000000
4632.537109,14410.776367,12.088256,6.507774,18.258818,34.315845,13824.627930,16952.427734,3.665819,4.158688,1.082364,0.813433,1.261473,1.535495,4.140654,4.229232,631.000000
6923.104492,9388.575195,479.416534,7.704273,39.749393,58.035965,9152.584961,23825.246094,3.840301,3.972600,2.680713,0.886732,1.599331,1.763697,3.961544,4.377038,846.000000
10217.385742,12260.319336,540.557800,5.737953,33.958130,61.622353,12251.717773,25472.156250,4.009340,4.088502,2.732842,0.758757,1.530944,1.789738,4.088197,4.406066,882.000000
9512.735352,13042.879883,0.000000,6.186593,9.315975,82.718208,12674.572266,25527.988281,3.978305,4.115374,0.000000,0.791452,0.969228,1.917601,4.102933,4.407017,905.000000
9672.500977,7785.823730,525.302551,8.585999,27.275669,82.844643,8423.150391,27512.824219,3.985539,3.891304,2.720409,0.933791,1.435775,1.918264,3.925475,4.439535,946.000000
6637.568848,3845.656494,1.625130,2.294390,9.516418,41.445450,3925.016113,25881.130859,3.822009,3.584970,0.210888,0.360667,0.978473,1.617477,3.593842,4.412983,1012.000000
