FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
8155.804199,10320.308594,149.487320,1.010035,9.769284,35.644936,10253.728516,27553.044922,3.911467,4.013693,2.174604,0.004336,0.989863,1.551998,4.010882,4.440170,163.000000
2790.833008,7518.244629,3.524713,7.607887,17.867182,61.721031,7227.275391,21094.412109,3.445734,3.876117,0.547124,0.881264,1.252056,1.790433,3.858975,4.324167,204.000000
4336.905273,6404.490723,7.740184,7.120757,15.298428,22.307766,6351.186523,28310.330078,3.637180,3.806485,0.888751,0.852526,1.184647,1.348456,3.802855,4.451945,287.000000
3236.547363,6853.979492,5.590818,7.459950,8.514203,29.366444,6643.060059,21380.882812,3.510082,3.835943,0.747475,0.872736,0.930144,1.467851,3.822368,4.330026,452.000000
10260.000000,11527.761719,360.541473,0.000000,14.200617,70.688545,11437.382812,25926.216797,4.011147,4.061745,2.556955,0.000000,1.152307,1.849349,4.058327,4.413739,594.000000
4433.207520,6574.136230,183.648972,1.936304,31.975286,29.116661,6309.953125,18015.322266,3.646718,3.817839,2.263988,0.286974,1.504814,1.464142,3.800026,4.255642,644.000000
6519.023926,10945.751953,428.824707,11.166790,35.768288,44.075878,14061.831055,79356.515625,3.814183,4.039246,2.632280,1.047928,1.553498,1.644201,4.148042,4.899582,833.000000
4441.450195,7152.626953,167.209564,0.627375,18.656620,47.218208,7072.604980,23638.970703,3.647525,3.854465,2.223261,0.000000,1.270833,1.674109,3.849579,4.373629,965.000000
11346.634766,17732.283203,17.336779,9.186144,26.914871,29.508297,15859.504883,15848.245117,4.054867,4.248765,1.238968,0.963133,1.429992,1.469944,4.200290,4.199981,996.000000
6854.247559,9124.869141,275.100342,3.226826,12.994875,52.907707,8954.799805,23405.666016,3.835960,3.960227,2.439491,0.508776,1.113772,1.723519,3.952056,4.369321,1021.000000
8354.826172,6061.199707,79.184242,0.000000,30.072620,17.851763,6065.818848,28768.890625,3.921937,3.782559,1.898639,0.000000,1.478171,1.251681,3.782889,4.458923,1057.000000
9634.293945,7280.762695,7.000087,4.681075,11.520848,31.691584,6910.806641,21909.716797,3.983820,3.862177,0.845103,0.670346,1.061484,1.500944,3.839529,4.340637,1118.000000
5608.293945,5920.513184,8.757818,4.854434,9.420822,62.982281,5929.528809,29537.357422,3.748831,3.772359,0.942396,0.686139,0.974089,1.799218,3.773020,4.470372,1148.000000
7239.955566,8736.848633,300.664520,4.005009,24.700747,33.486320,8644.430664,29281.011719,3.859736,3.941355,2.478082,0.602603,1.392710,1.524867,3.936736,4.466586,1681.000000
