FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
7562.147461,7951.062500,8.986014,5.966798,13.805899,255.006699,8199.801758,30232.595703,3.878645,3.900425,0.953567,0.775741,1.140065,2.406552,3.913803,4.480475,448.000000
5234.455566,2724.258057,3.703570,4.291356,14.996222,49.793129,2750.145996,30053.519531,3.718872,3.435248,0.568621,0.632595,1.175982,1.697169,3.439356,4.477895,548.000000
4941.025391,6124.563965,2.670518,2.087983,25.255821,73.281967,6070.732422,27076.794922,3.693817,3.787075,0.426595,0.319727,1.402362,1.864997,3.783241,4.432597,755.000000
4253.089355,8023.693848,4.915480,5.820962,16.599766,292.489532,7945.565918,20775.224609,3.628705,3.904374,0.691566,0.764995,1.220102,2.466110,3.900125,4.317546,1003.000000
6293.176758,10354.176758,5.902276,5.266481,12.452137,460.707489,10638.413086,23341.580078,3.798870,4.015116,0.771020,0.721521,1.095244,2.663425,4.026877,4.368130,1319.000000
5162.567383,5404.779297,4.391244,5.626758,12.560068,81.657402,5343.700195,24173.263672,3.712866,3.732778,0.642588,0.750258,1.098992,1.911996,3.727842,4.383335,1477.000000
7787.322266,8526.121094,6.435763,6.946012,8.597464,59.682678,8380.825195,26458.542969,3.891388,3.930752,0.808600,0.841736,0.934370,1.775848,3.923287,4.422566,1676.000000
4244.680176,7545.807129,6.155142,3.631558,20.392765,238.385345,7818.872559,26142.400391,3.627845,3.877706,0.789238,0.560093,1.309476,2.377280,3.893144,4.417346,1751.000000
7219.575195,7137.084961,7.434894,6.772535,22.184416,147.026489,7239.789062,27576.363281,3.858512,3.853521,0.871275,0.830751,1.346048,2.167396,3.859726,4.440537,1855.000000
4694.727051,8766.733398,6.037961,3.043341,12.307201,244.666916,8498.617188,22247.894531,3.671610,3.942838,0.780890,0.483351,1.090159,2.388575,3.929348,4.347289,2073.000000
13617.879883,16213.545898,7.771022,7.129641,23.661528,257.501434,16732.833984,44496.574219,4.134109,4.209878,0.890478,0.853068,1.374043,2.410780,4.223569,4.648326,2174.000000
4706.661133,7212.078613,3.873176,4.219954,13.670214,98.358932,7075.421387,27382.802734,3.672713,3.858060,0.588067,0.625308,1.135775,1.992814,3.849752,4.437478,2261.000000
7099.802734,9375.256836,6.414176,2.887144,24.750088,216.052902,9297.451172,28309.222656,3.851246,3.971983,0.807141,0.460468,1.393577,2.334560,3.968364,4.451928,2276.000000
5103.865234,7286.529297,5.143676,5.844767,6.272325,149.804947,7173.816895,24522.765625,3.707899,3.862521,0.711274,0.766767,0.797429,2.175526,3.855750,4.389569,2371.000000
4583.764648,11953.983398,6.679378,7.421402,27.250999,79.878082,11255.333984,20360.224609,3.661222,4.077513,0.824736,0.870486,1.435382,1.902428,4.051358,4.308783,2426.000000
843.300781,11874.731445,3.965688,1.976974,8.551208,26.874783,41809.894531,99998.000000,2.925982,4.074624,0.598319,0.296001,0.932027,1.429345,4.621279,4.999991,2438.000000
9027.457031,10461.836914,6.327832,3.800342,9.744615,97.668175,10468.298828,27893.207031,3.955565,4.019608,0.801255,0.579823,0.988765,1.989753,4.019876,4.445498,2591.000000
5373.667480,6761.612305,7.746352,5.020041,13.568451,141.855072,6712.342285,27142.658203,3.730271,3.830050,0.889097,0.700707,1.132530,2.151845,3.826874,4.433652,2711.000000
5623.937500,4772.384766,5.350287,3.246725,9.016852,59.226288,4840.888184,28581.173828,3.750041,3.678735,0.728377,0.511446,0.955055,1.772514,3.684925,4.456080,2992.000000
3904.713379,7852.824219,6.074965,6.585500,32.212734,298.376404,7730.613281,24428.339844,3.591589,3.895026,0.783544,0.818589,1.508028,2.474765,3.888214,4.387894,3037.000000
6394.458984,12922.493164,8.949010,8.441013,12.112926,356.279755,12164.814453,18139.455078,3.805804,4.111346,0.951775,0.926395,1.083249,2.551791,4.085105,4.258624,3194.000000
3753.591553,6675.319824,3.496960,5.495548,8.026972,235.243011,6681.267578,24468.144531,3.574447,3.824472,0.543691,0.740011,0.904552,2.371517,3.824859,4.388601,3214.000000
7041.294922,6162.824219,4.076703,2.781743,19.150017,137.895538,6247.639160,29146.103516,3.847652,3.789780,0.610309,0.444317,1.282169,2.139550,3.795716,4.464581,3243.000000
10572.431641,10811.070312,7.518155,2.748190,10.672820,193.627960,10766.833008,29183.427734,4.024175,4.033869,0.876111,0.439047,1.028279,2.286968,4.032088,4.465137,3416.000000
6078.591797,6528.200684,5.550730,6.215522,11.890897,78.860451,6394.180664,27627.705078,3.783803,3.814794,0.744350,0.793478,1.075215,1.896859,3.805785,4.441345,3559.000000
5647.306152,6408.971191,4.261727,6.436855,9.985147,287.311951,6340.117188,28863.269531,3.751841,3.806788,0.629586,0.808674,0.999354,2.458354,3.802097,4.460346,3633.000000
6680.546875,5303.682129,5.760424,3.743569,6.222985,71.329964,5333.101562,28790.300781,3.824812,3.724577,0.760454,0.573286,0.793999,1.853272,3.726980,4.459246,3733.000000
9815.747070,19667.203125,12.371960,9.211304,43.607151,452.797699,21070.248047,26513.068359,3.991923,4.293743,1.092438,0.964321,1.639558,2.655904,4.323669,4.423460,3766.000000
9768.572266,17182.650391,8.933591,8.155951,29.061153,510.882996,17150.371094,24462.261719,3.989831,4.235090,0.951026,0.911475,1.463313,2.708321,4.234273,4.388496,3887.000000
5861.558105,6834.388672,4.008861,8.447995,23.778709,105.840080,6757.236816,22060.300781,3.768013,3.834700,0.603021,0.926754,1.376188,2.024650,3.829769,4.343611,4145.000000
10115.461914,9663.660156,7.721682,7.221507,21.826702,173.864273,15042.072266,72766.195312,4.004986,3.985142,0.887712,0.858628,1.338988,2.240210,4.177308,4.861930,4260.000000
6819.940918,9056.924805,6.864402,7.847839,19.800686,184.586441,8806.916992,21265.662109,3.833781,3.956981,0.836603,0.894750,1.296680,2.266200,3.944824,4.327679,4589.000000
6068.273438,7741.386719,2.466991,3.504607,9.803205,207.076141,7783.632812,27380.539062,3.783065,3.888819,0.392168,0.544639,0.991368,2.316130,3.891182,4.437442,4843.000000
5697.744141,5530.827148,4.671864,4.553052,17.864100,185.702744,5601.177246,26096.195312,3.755703,3.742790,0.669490,0.658303,1.251981,2.268818,3.748279,4.416577,5052.000000
4496.809570,7047.884766,4.224722,6.114120,14.629256,92.367226,6864.510742,22994.306641,3.652905,3.848059,0.625798,0.786334,1.165222,1.965518,3.836610,4.361620,5269.000000
5433.313477,6386.845215,4.903145,5.890185,13.448185,66.910965,6306.461914,25751.373047,3.735065,3.805286,0.690475,0.770129,1.128664,1.825497,3.799786,4.410800,5603.000000
3459.732910,5759.026855,4.477589,5.025017,16.414742,94.806465,5732.479980,22999.253906,3.539042,3.760349,0.651044,0.701138,1.215234,1.976838,3.758343,4.361714,5850.000000
5718.957031,11524.251953,5.538395,4.992658,28.580091,200.538620,10972.671875,17233.074219,3.757317,4.061613,0.743384,0.698332,1.456064,2.302198,4.040312,4.236363,5957.000000
3260.023682,5670.961426,2.960389,5.469245,17.928858,357.133942,5604.716797,22876.248047,3.513221,3.753657,0.471349,0.737927,1.253553,2.552831,3.748554,4.359385,5998.000000
8002.030762,9287.431641,6.963082,8.311693,29.838257,531.022888,11057.690430,36972.882812,3.903200,3.967896,0.842802,0.919689,1.474773,2.725113,4.043664,4.567883,6248.000000
4247.375000,5678.461426,4.178466,7.081422,5.263942,100.650146,5610.431152,27636.623047,3.628121,3.754231,0.621017,0.850120,0.721311,2.002814,3.748996,4.441485,6286.000000
4206.654297,6311.463379,4.230890,8.309052,19.359713,179.698715,6159.489746,22326.541016,3.623937,3.800130,0.626432,0.919551,1.286899,2.254545,3.789545,4.348822,6629.000000
3956.452148,4146.317871,4.779795,3.350652,22.255342,126.408615,4201.820801,27388.644531,3.597306,3.617663,0.679409,0.525129,1.347434,2.101777,3.623438,4.437571,6952.000000
5561.938965,4160.389160,5.695665,4.913385,23.784878,180.028671,4244.332520,27835.689453,3.745226,3.619134,0.755544,0.691381,1.376301,2.255342,3.627809,4.444602,7049.000000
5015.596191,8878.003906,4.637943,3.900012,5.165262,133.501221,8669.508789,23715.769531,3.700323,3.948315,0.666325,0.591066,0.713092,2.125485,3.937994,4.375037,7157.000000
2588.709229,5613.193848,3.416783,3.897892,15.714733,67.367355,5544.461914,24127.880859,3.413083,3.749210,0.533617,0.590830,1.196307,1.828449,3.743859,4.382519,7262.000000
4342.539551,7807.588867,4.243225,4.739785,9.793954,120.407661,7649.187012,22621.810547,3.637744,3.892517,0.627696,0.675759,0.990958,2.080654,3.883615,4.354527,7387.000000
5464.631836,16706.968750,8.939758,7.646445,22.628475,137.639603,15813.134766,17183.412109,3.737561,4.222898,0.951326,0.883460,1.354655,2.138743,4.199018,4.235109,7423.000000
4013.658691,3962.147949,3.046734,2.742809,8.788655,47.341557,4103.647949,29051.308594,3.603540,3.597931,0.483835,0.438196,0.943922,1.675243,3.613170,4.463166,7475.000000
3361.518799,6473.526367,3.746742,3.244221,6.198315,288.933990,6576.074707,29767.431641,3.526536,3.811141,0.573654,0.511110,0.792274,2.460799,3.817967,4.473742,7744.000000
4171.465820,8092.994629,6.241487,5.404296,7.012422,165.535095,7866.079102,21722.134766,3.620289,3.908109,0.795288,0.732739,0.845868,2.218890,3.895758,4.336903,7769.000000
8591.123047,10333.312500,7.209781,6.187145,19.828440,165.257553,10214.093750,25659.212891,3.934050,4.014240,0.857922,0.791490,1.297289,2.218161,4.009200,4.409243,7885.000000
6739.875000,7261.732910,4.283313,5.188609,19.264116,57.126259,7373.118164,26618.257812,3.828652,3.861040,0.631780,0.715051,1.284749,1.756836,3.867651,4.425179,7964.000000
6378.238770,10499.753906,6.275408,7.895246,15.942929,167.027618,10232.573242,21978.136719,3.804701,4.021179,0.797642,0.897366,1.202568,2.222788,4.009985,4.341991,7982.000000
8706.877930,14408.642578,9.349895,7.150325,10.099244,347.170380,14066.869141,26875.416016,3.939862,4.158623,0.970807,0.854326,1.004289,2.540543,4.148198,4.429355,8065.000000
4064.793213,8301.251953,9.152536,10.058788,20.688803,237.904282,7736.365723,23038.843750,3.609038,3.919144,0.961541,1.002546,1.315735,2.376402,3.888537,4.362461,8240.000000
7627.748047,11745.920898,9.016852,4.905625,14.058765,604.825989,11384.073242,19990.009766,3.882396,4.069887,0.955055,0.690694,1.147947,2.781631,4.056298,4.300813,8260.000000
5250.860840,6193.852539,5.063499,4.487642,16.275972,208.824615,6231.809570,25691.947266,3.720231,3.791961,0.704451,0.652018,1.211547,2.319782,3.794614,4.409797,8432.000000
4174.441895,5439.002930,10.111579,4.117038,17.925774,198.750046,5406.412109,23063.251953,3.620598,3.735519,1.004819,0.614585,1.253478,2.298307,3.732909,4.362921,8550.000000
7297.624512,10235.594727,5.180681,2.874069,10.697490,324.067017,15846.499023,66470.171875,3.863182,4.010113,0.714387,0.458497,1.029282,2.510635,4.199934,4.822627,8656.000000
9533.652344,7627.714355,6.482019,2.962814,20.602459,157.622223,7540.137695,24410.173828,3.979259,3.882394,0.811710,0.471704,1.313919,2.197618,3.877379,4.387571,8679.000000
2564.986084,2695.730469,3.237926,5.650967,1.511032,26.890202,2785.570068,31370.882812,3.409085,3.430676,0.510267,0.752123,0.179274,1.429594,3.444914,4.496527,8731.000000
8885.848633,14187.220703,11.385163,7.200115,28.287136,283.074890,13875.289062,21064.992188,3.948699,4.151897,1.056339,0.857339,1.451589,2.451901,4.142242,4.323561,8748.000000
13834.885742,21038.933594,11.687370,7.820050,39.185070,569.924255,20262.265625,18746.060547,4.140975,4.323024,1.067717,0.893210,1.593121,2.755817,4.306688,4.272910,8861.000000
7573.486816,6198.663574,6.216817,4.232152,17.947359,6.284659,6230.869629,26415.544922,3.879296,3.792298,0.793568,0.626561,1.254001,0.798282,3.794549,4.421860,9150.000000
5259.717285,3572.394043,5.815931,4.798164,4.523845,62.128086,3697.913818,27961.847656,3.720962,3.552959,0.764619,0.681075,0.655508,1.793288,3.567957,4.446566,9194.000000
6269.376465,8478.190430,4.425165,3.855979,18.678205,398.949463,10181.560547,42048.160156,3.797224,3.928303,0.645930,0.586135,1.271335,2.600918,4.007814,4.623747,9389.000000
3570.408203,2659.931396,4.866140,3.482842,11.036701,20.090557,2737.977783,28446.408203,3.552718,3.424870,0.687185,0.541934,1.042839,1.302992,3.437430,4.454028,9478.000000
6452.260742,12166.225586,9.763117,4.689517,37.772717,186.322586,12852.533203,27927.515625,3.809712,4.085156,0.989588,0.671128,1.577178,2.270266,4.108989,4.446033,9513.000000
4708.316895,7825.714844,5.257774,4.789695,28.062023,152.046829,14352.130859,99998.000000,3.672866,3.893524,0.720802,0.680308,1.448119,2.181977,4.156917,4.999991,9644.000000
6520.633301,10850.982422,6.420344,9.698433,23.063282,163.996307,10686.039062,23551.005859,3.814290,4.035469,0.807558,0.986702,1.362921,2.214834,4.028817,4.372009,9659.000000
7066.510742,10759.423828,4.496091,5.571853,10.675903,154.834518,10642.562500,22043.933594,3.849205,4.031789,0.652835,0.746000,1.028405,2.189868,4.027046,4.343289,9730.000000
4325.584961,4657.191895,6.204483,5.029138,10.771500,198.043869,4691.808105,27199.531250,3.636045,3.668124,0.792706,0.701494,1.032276,2.296762,3.671340,4.434561,9970.000000
7675.135742,13222.575195,6.685545,4.670016,8.174992,48.602806,12750.062500,19171.599609,3.885086,4.121316,0.825137,0.669318,0.912487,1.686661,4.105512,4.282659,10139.000000
4359.333496,5344.248535,4.967903,5.876771,15.424861,192.320450,5366.202637,27839.623047,3.639420,3.727887,0.696173,0.769139,1.188221,2.284025,3.729667,4.444664,10365.000000
5979.832031,7009.224121,7.703179,7.337676,18.046040,122.325752,6780.901855,23096.837891,3.776689,3.845670,0.886670,0.865559,1.256382,2.087518,3.831287,4.363553,10560.000000
5453.141602,4665.851074,4.107540,3.388872,9.004518,110.453354,4555.425293,22933.398438,3.736647,3.668931,0.613582,0.530055,0.954460,2.043179,3.658529,4.360468,10658.000000
5653.800781,6290.540039,5.519892,5.340107,0.366965,140.507477,6407.223145,26972.939453,3.752341,3.798688,0.741931,0.727550,0.000000,2.147699,3.806670,4.430928,10725.000000
4273.661133,3586.582520,3.435285,4.392303,5.171430,73.244965,3630.480713,27446.533203,3.630800,3.554681,0.535963,0.642692,0.713611,1.864778,3.559964,4.438488,10758.000000
4855.438965,6151.525391,4.292564,4.762018,5.322533,107.178421,6141.094727,23619.062500,3.686229,3.788983,0.632717,0.677791,0.726118,2.030107,3.788246,4.373263,10785.000000
3432.660645,6072.899414,4.782879,4.417280,7.373219,159.287445,5923.956055,25126.039062,3.535631,3.783396,0.679689,0.645155,0.867657,2.202182,3.772612,4.400124,10857.000000
12804.389648,10908.195312,7.986883,6.353054,14.055681,212.969162,10867.831055,25762.673828,4.107359,4.037753,0.902377,0.802983,1.147852,2.328317,4.036143,4.410991,11195.000000
5976.341309,7273.435547,4.989489,5.510474,21.287048,210.640945,7249.873535,25984.437500,3.776435,3.861740,0.698056,0.741189,1.328115,2.323543,3.860330,4.414713,11280.000000
6355.662598,3498.193359,5.476720,6.778877,7.835780,81.756081,3504.748291,28290.566406,3.803161,3.543844,0.738521,0.831158,0.894082,1.912520,3.544657,4.451642,11408.000000
7767.792969,6141.333496,4.018112,4.493606,12.328788,21.962387,6215.248535,26894.072266,3.890298,3.788263,0.604022,0.652595,1.090920,1.341680,3.793458,4.429657,11438.000000
5298.350586,10843.088867,10.003649,6.315486,10.062240,207.008301,10585.839844,24732.513672,3.724141,4.035153,1.000158,0.800407,1.002695,2.315988,4.024725,4.393268,11595.000000
5234.899414,7967.449707,8.745483,4.121884,17.814758,232.020508,7950.140625,23605.978516,3.718908,3.901319,0.941784,0.615096,1.250780,2.365526,3.900375,4.373022,11822.000000
4366.389160,9134.891602,4.230890,5.330160,17.901104,270.761505,8845.292969,25160.359375,3.640122,3.960703,0.626432,0.726740,1.252880,2.432587,3.946712,4.400717,11885.000000
12169.774414,8966.969727,8.171907,8.808592,33.652840,729.643433,9179.034180,29096.142578,4.085282,3.952646,0.912323,0.944906,1.527022,2.863111,3.962797,4.463835,12083.000000
6887.937500,11214.780273,6.691713,5.394005,19.211693,395.030029,11348.344727,25088.572266,3.838089,4.049791,0.825537,0.731911,1.283566,2.596630,4.054933,4.399476,12671.000000
14265.060547,40152.433594,17.114750,11.647142,40.609756,842.659363,34608.957031,7219.119141,4.154274,4.603712,1.233371,1.066219,1.608630,2.925652,4.539188,3.858484,13043.000000
9597.143555,10828.237305,8.523454,6.783326,14.589168,213.462570,10670.945312,25748.119141,3.982142,4.034558,0.930616,0.831443,1.164031,2.329322,4.028203,4.410746,13065.000000
7299.641113,7911.905273,11.693538,7.048425,12.621742,230.429291,8138.376953,30762.240234,3.863302,3.898281,1.067946,0.848092,1.101119,2.362538,3.910538,4.488018,13237.000000
8530.305664,9288.745117,5.596986,5.528840,15.434113,130.149200,13551.766602,24778.527344,3.930965,3.967957,0.747954,0.742634,1.188482,2.114441,4.131996,4.394075,13328.000000
9214.106445,10132.727539,7.117269,8.146420,24.056246,145.028229,10112.280273,28568.287109,3.964453,4.005726,0.852313,0.910967,1.381228,2.161453,4.004849,4.455884,13550.000000
5990.560547,7194.319336,5.606237,3.696064,9.448576,60.666393,7172.594238,25614.699219,3.777467,3.856990,0.748671,0.567739,0.975366,1.782948,3.855676,4.408489,13910.000000
9852.767578,12559.672852,7.104934,8.536351,10.093077,85.922211,12163.765625,21882.703125,3.993558,4.098979,0.851560,0.931272,1.004024,1.934105,4.085068,4.340101,13975.000000
12526.375000,15265.327148,13.321752,8.963171,19.862362,330.064880,17106.357422,40560.003906,4.097826,4.183706,1.124561,0.952462,1.298031,2.518599,4.233158,4.608098,14112.000000
6224.566895,7428.341309,3.466122,2.251821,7.730933,91.300255,7338.759277,25047.236328,3.794109,3.870892,0.539844,0.352534,0.888232,1.960472,3.865623,4.398760,14161.000000
5635.088379,6216.817383,5.020327,4.174848,5.930029,79.652969,6311.209961,29331.759766,3.750901,3.793568,0.700732,0.620641,0.773057,1.901202,3.800113,4.467338,14220.000000
7108.942871,10788.311523,4.126042,4.623381,15.434113,175.230377,10488.294922,25226.955078,3.851805,4.032953,0.615534,0.664960,1.188482,2.243609,4.020705,4.401865,14913.000000
4565.157715,7076.045410,4.813716,2.992226,8.807158,270.175598,7010.459961,25421.117188,3.659456,3.849791,0.682481,0.475994,0.944836,2.431646,3.845747,4.405195,15007.000000
5118.269531,6584.195312,4.933982,3.980983,16.584347,97.221031,6245.498535,19407.095703,3.709123,3.818503,0.693198,0.599990,1.219698,1.987760,3.795567,4.287961,15544.000000
5859.683594,9388.516602,4.792130,4.687614,25.702963,352.887634,9110.507812,19811.630859,3.767874,3.972597,0.680529,0.670952,1.409983,2.547637,3.959543,4.296920,15717.000000
12202.940430,14425.430664,8.082479,6.770996,16.960564,294.682068,13315.790039,17787.164062,4.086464,4.159129,0.907545,0.830653,1.229440,2.469354,4.124367,4.250107,15830.000000
4951.065918,4363.160156,4.033530,3.955310,15.477284,136.344421,4545.760742,28130.826172,3.694699,3.639801,0.605685,0.597181,1.189695,2.134637,3.657607,4.449183,15931.000000
5666.375977,4341.552734,6.031793,5.375338,7.891287,167.335999,9170.857422,99998.000000,3.753305,3.637645,0.780446,0.730406,0.897148,2.223589,3.962410,4.999991,16017.000000
9423.483398,9960.081055,5.159095,4.890166,29.199923,261.661407,19825.250000,99998.000000,3.974211,3.998263,0.712574,0.689324,1.465382,2.417740,4.297219,4.999991,16135.000000
4912.025879,6794.592773,4.489923,8.175219,32.394676,227.690933,6711.367676,21846.642578,3.691261,3.832163,0.652239,0.912499,1.510474,2.357346,3.826811,4.339385,16286.000000
12466.192383,24308.146484,11.212474,8.665711,32.675297,395.606689,23310.462891,16464.548828,4.095734,4.385752,1.049701,0.937804,1.514220,2.597264,4.367551,4.216550,16623.000000
5943.952637,6143.048340,3.114576,1.085417,39.548950,143.023804,6134.963867,27338.087891,3.774075,3.788384,0.493399,0.035597,1.597135,2.155408,3.787812,4.436768,16648.000000
4210.120605,5653.066895,4.989489,5.818848,14.064933,129.245651,5674.377441,28009.769531,3.624295,3.752284,0.698056,0.764837,1.148138,2.111416,3.753918,4.447309,16991.000000
4977.672363,8024.091797,3.031315,4.237064,18.567190,0.000000,7905.710938,23691.791016,3.697026,3.904396,0.481631,0.627065,1.268746,0.000000,3.897941,4.374598,17090.000000
4065.403809,4947.143555,2.689020,2.141420,12.779014,196.027100,4955.082031,26050.289062,3.609104,3.694355,0.429594,0.330702,1.106497,2.292316,3.695051,4.415812,17116.000000
4686.672363,4305.210938,7.425643,5.478400,13.130560,136.017548,4377.677246,24988.060547,3.670865,3.633994,0.870734,0.738654,1.118283,2.133595,3.641244,4.397733,17515.000000
7217.259277,7323.663574,6.889072,4.308030,15.156576,161.708176,6598.212402,0.000000,3.858372,3.864728,0.838161,0.634279,1.180601,2.208732,3.819426,0.000000,17702.000000
4282.696289,10015.807617,4.338820,4.738339,10.962691,27.667305,9812.488281,20604.833984,3.631717,4.000686,0.637372,0.675626,1.039917,1.441967,3.991779,4.313969,17815.000000
4716.624512,5927.170898,7.863534,7.347486,25.773888,194.710342,5985.319824,23519.218750,3.673631,3.772847,0.895618,0.866139,1.411180,2.289389,3.777087,4.371423,17942.000000
6743.701660,8202.137695,5.945448,7.309253,29.236927,314.362488,12416.131836,67635.296875,3.828898,3.913927,0.774185,0.863873,1.465932,2.497431,4.093987,4.830173,18043.000000
4179.671875,8413.222656,4.687283,7.425372,25.391504,233.220078,7954.688477,19294.968750,3.621142,3.924962,0.670921,0.870718,1.404688,2.367766,3.900623,4.285444,18311.000000
12944.837891,9917.186523,9.488664,5.827291,38.142765,385.294647,10036.565430,29124.263672,4.112097,3.996388,0.977205,0.765467,1.581412,2.585793,4.001585,4.464255,18534.000000
13486.589844,14177.417969,7.690845,4.899818,27.691975,154.634079,13944.534180,23716.896484,4.129902,4.151597,0.885974,0.690180,1.442354,2.189305,4.144404,4.375058,18716.000000
13206.351562,15118.902344,14.768024,8.761244,31.336954,357.189453,14881.532227,24924.082031,4.120783,4.179520,1.169322,0.942566,1.496057,2.552899,4.172647,4.396619,18879.000000
8327.448242,11775.867188,10.817756,7.571981,18.375999,151.211136,11404.996094,21352.546875,3.920512,4.070993,1.034137,0.879210,1.264251,2.179584,4.057095,4.329450,19288.000000
8708.475586,21171.792969,11.486927,8.274203,21.555334,413.168579,28104.335938,52545.152344,3.939942,4.325758,1.060204,0.917726,1.333555,2.616127,4.448773,4.720532,19358.000000
5086.216797,5441.065918,3.817669,3.680343,12.627911,138.583221,5406.768555,25165.742188,3.706395,3.735684,0.581798,0.565888,1.101331,2.141711,3.732938,4.400810,19532.000000
13317.286133,28931.224609,15.209000,12.794768,35.222466,858.293945,31216.298828,27444.447266,4.124416,4.461367,1.182101,1.107032,1.546820,2.933636,4.494381,4.438455,19592.000000
9354.391602,7362.142578,5.655577,6.031100,24.068581,150.634476,7456.927246,31093.080078,3.971015,3.867004,0.752477,0.780397,1.381451,2.177924,3.872560,4.492664,19701.000000
7867.437988,10963.653320,5.482887,3.410744,18.863230,130.423645,10777.424805,22101.136719,3.895833,4.039955,0.739009,0.532849,1.275616,2.115356,4.032515,4.344415,19761.000000
7790.991699,16752.808594,7.018589,4.882532,17.638987,179.501343,16800.941406,23623.472656,3.891593,4.224088,0.846250,0.688645,1.246474,2.254068,4.225334,4.373344,19891.000000
5823.193359,4329.640137,4.520761,4.428109,18.064541,102.210518,4365.121094,25963.587891,3.765161,3.636452,0.655212,0.646218,1.256827,2.009495,3.639996,4.414365,20168.000000
5594.704102,6654.097656,5.951616,6.549963,10.006732,153.918655,6581.948730,24341.039062,3.747777,3.823089,0.774635,0.816239,1.000292,2.187291,3.818355,4.386339,20191.000000
9297.414062,17193.058594,7.758687,5.894442,37.828224,305.635529,16633.748047,21319.658203,3.968362,4.235353,0.889788,0.770443,1.577816,2.485204,4.220990,4.328780,20270.000000
5983.140625,14551.379883,9.497915,5.326690,25.539524,145.370529,19488.683594,52527.976562,3.776929,4.162904,0.977628,0.726457,1.407213,2.162476,4.289783,4.720391,20410.000000
11500.507812,16950.185547,16.861883,11.404069,44.587780,731.256226,16361.799805,17613.822266,4.060717,4.229175,1.226906,1.057060,1.649216,2.864069,4.213831,4.245853,20461.000000
3807.270264,3155.260010,5.143676,3.272929,7.092599,45.864445,3168.726807,29224.148438,3.580614,3.499035,0.711274,0.514937,0.850805,1.661476,3.500885,4.465742,20874.000000
10422.997070,13621.081055,8.677641,5.301297,15.653058,293.174133,13816.879883,30080.664062,4.017992,4.134212,0.938402,0.724382,1.194599,2.467126,4.140410,4.478287,21039.000000
6088.857422,7858.066406,5.708001,6.490879,15.893590,192.317368,8063.025879,28887.480469,3.784536,3.895316,0.756484,0.812303,1.201222,2.284019,3.906498,4.460710,21329.000000
4458.355469,4006.214600,3.065236,5.386587,17.531055,59.664177,4090.617188,27580.845703,3.649175,3.602734,0.486464,0.731314,1.243808,1.775714,3.611789,4.440608,21372.000000
3608.060791,2093.371338,3.296517,2.045687,15.199748,52.210781,2124.834473,30576.714844,3.557274,3.320846,0.518055,0.310839,1.181836,1.717760,3.327325,4.485391,21507.000000
