FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
7105.294922,8993.027344,5.667912,6.186991,14.780360,147.140594,10503.289062,58547.550781,3.851582,3.953906,0.753423,0.791479,1.169685,2.167732,4.021325,4.767509,96.000000
5487.827637,6639.292480,8.319927,6.803017,12.325704,59.639507,6776.311523,27557.468750,3.739400,3.822122,0.920120,0.832702,1.090812,1.775534,3.830993,4.440239,146.000000
4678.580566,5615.275391,6.734885,7.877751,10.367530,126.214340,5587.590820,26368.826172,3.670114,3.749371,0.828330,0.896402,1.015675,2.101109,3.747225,4.421091,469.000000
4832.896973,6562.677246,4.878475,4.011865,17.250435,126.020065,6655.073730,27194.835938,3.684207,3.817081,0.688284,0.603346,1.236800,2.100440,3.823153,4.434486,817.000000
6746.702148,9226.598633,6.179812,5.041149,21.604673,166.851852,9119.925781,24367.609375,3.829092,3.965042,0.790975,0.702530,1.334548,2.222331,3.959991,4.386813,933.000000
4920.009766,7847.998047,6.007123,4.477647,5.057332,44.365749,7590.751465,23144.587891,3.691966,3.894759,0.778666,0.651050,0.703921,1.647048,3.880285,4.364450,981.000000
6493.478027,6743.282227,1.671386,3.769409,20.722725,136.933426,6628.495117,22960.500000,3.812477,3.828871,0.223077,0.576273,1.316447,2.136509,3.821415,4.360981,1027.000000
6357.223145,6382.016113,3.157748,6.276686,5.994788,86.542046,6405.754395,27907.691406,3.803267,3.804958,0.499378,0.797730,0.777774,1.937227,3.806570,4.445724,1097.000000
3278.541504,13142.481445,5.356454,6.061489,23.757124,39.891243,12926.535156,22543.966797,3.515681,4.118677,0.728877,0.782579,1.375794,1.600878,4.111482,4.353030,1416.000000
5526.318848,4296.739746,5.242356,4.822258,18.789221,209.907013,4325.697266,27357.900391,3.742436,3.633139,0.719526,0.683250,1.273909,2.322027,3.636056,4.437083,1479.000000
4664.182617,8403.320312,4.607106,4.606555,11.921734,100.403450,8183.351562,19824.958984,3.668776,3.924451,0.663428,0.663376,1.076339,2.001749,3.912931,4.297212,1563.000000
4338.897461,8856.791016,4.792130,3.534296,17.861015,98.997269,8622.077148,22911.921875,3.637379,3.947276,0.680529,0.548303,1.251906,1.995623,3.935612,4.360062,1893.000000
10439.636719,10044.600586,6.710216,4.577827,25.499435,170.321060,9937.161133,26088.400391,4.018685,4.001933,0.826736,0.660659,1.406531,2.231268,3.997262,4.416448,1994.000000
5096.455078,6209.533691,4.610189,2.382834,16.550426,146.323410,6009.627441,22456.652344,3.707268,3.793059,0.663719,0.377094,1.218809,2.165314,3.778847,4.351345,2064.000000
5695.181152,4459.351562,12.112926,11.383489,18.687456,124.539871,4468.869629,29074.113281,3.755507,3.649272,1.083249,1.056275,1.271550,2.095308,3.650198,4.463507,2340.000000
6005.013672,12175.152344,5.624740,7.890962,23.707783,227.613846,20707.468750,24389.687500,3.778514,4.085474,0.750102,0.897130,1.374891,2.357199,4.316127,4.387206,2426.000000
