FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
3964.038330,5486.622070,5.196100,6.184279,15.748653,160.625778,5672.223633,27160.515625,3.598138,3.739305,0.715677,0.791289,1.197243,2.205815,3.753753,4.433938,171.000000
9726.189453,10147.147461,6.364837,6.306364,15.255256,146.107544,14181.741211,64469.542969,3.987943,4.006344,0.803787,0.799779,1.183419,2.164673,4.151730,4.809355,201.000000
4017.500977,8187.560547,8.344597,7.780885,14.644675,172.603027,8540.007812,27227.248047,3.603956,3.913155,0.921405,0.891029,1.165680,2.237048,3.931458,4.435004,372.000000
5240.761719,10447.028320,7.111102,3.891551,23.337734,102.876610,11220.845703,29903.673828,3.719394,4.018993,0.851937,0.590123,1.368059,2.012317,4.050025,4.475725,479.000000
13101.659180,19847.683594,10.201008,4.631266,30.285398,474.451721,24620.693359,72117.187500,4.117326,4.297710,1.008643,0.665700,1.481233,2.676192,4.391300,4.858039,578.000000
6973.699219,8666.381836,5.260859,6.806115,35.583260,94.239059,8705.244141,25566.777344,3.843463,3.937838,0.721057,0.832899,1.551246,1.974231,3.939781,4.407676,703.000000
6250.103027,13374.233398,12.344206,9.057138,20.176903,393.824280,16779.380859,45207.703125,3.795887,4.126269,1.091463,0.956991,1.304855,2.595303,4.224776,4.655212,865.000000
4684.708008,9141.728516,4.372742,5.783015,18.135468,445.113007,8768.083008,18925.535156,3.670682,3.961028,0.640754,0.762154,1.258529,2.648470,3.942905,4.277048,975.000000
7013.504395,8373.133789,7.111102,6.361626,20.858408,112.846336,8359.559570,24965.447266,3.845935,3.922888,0.851937,0.803568,1.319281,2.052487,3.922184,4.397339,1015.000000
14923.658203,14832.537109,10.068407,5.700743,24.805595,169.207825,15281.261719,26655.738281,4.173875,4.171216,1.002961,0.755931,1.394550,2.228420,4.184159,4.425791,1060.000000
4735.629883,9184.946289,6.256906,4.165992,27.701225,101.667786,9432.268555,25244.980469,3.675378,3.963077,0.796360,0.619718,1.442499,2.007183,3.974616,4.402175,1148.000000
4701.091797,4400.825195,4.816800,5.782664,8.834911,81.046822,4403.287598,25504.324219,3.672199,3.643534,0.682759,0.762128,0.946202,1.908736,3.643777,4.406614,1202.000000
4341.151855,3959.190674,3.182418,6.045729,14.191366,118.640678,3936.950439,25424.638672,3.637605,3.597606,0.502757,0.781449,1.152024,2.074234,3.595160,4.405255,1288.000000
5465.982422,6564.700195,5.649409,6.765720,12.874609,42.382904,6477.532227,23105.445312,3.737668,3.817215,0.752003,0.830314,1.109734,1.627191,3.811409,4.363714,1377.000000
5270.232910,9131.484375,8.270587,6.777700,14.595336,153.446838,8488.988281,20131.091797,3.721830,3.960541,0.917536,0.831082,1.164214,2.185958,3.928856,4.303867,1564.000000
4127.868164,4600.349121,3.780664,2.669934,9.941974,34.029057,4549.404297,28297.671875,3.615726,3.662791,0.577568,0.426500,0.997473,1.531850,3.657954,4.451751,1738.000000
4792.580078,6246.705078,8.174992,5.974291,14.268459,236.137299,6167.304688,21494.912109,3.680569,3.795651,0.912487,0.776286,1.154377,2.373165,3.790095,4.332335,1817.000000
6869.064941,8033.784180,5.162179,5.417140,16.353067,37.279316,7712.032227,20077.501953,3.836898,3.904920,0.712833,0.733770,1.213599,1.571468,3.887169,4.302710,1853.000000
8072.475586,9526.227539,5.322533,4.893464,15.902841,272.127625,9392.374023,23749.583984,3.907007,3.978921,0.726118,0.689616,1.201475,2.434773,3.972775,4.375656,2001.000000
7646.932129,10851.630859,7.317712,5.971541,14.120440,227.166702,12813.274414,36932.898438,3.883487,4.035495,0.864375,0.776086,1.149848,2.356345,4.107660,4.567413,2188.000000
4245.993652,5347.036621,6.861319,6.263143,12.757427,104.073097,5430.018066,26623.134766,3.627979,3.728113,0.836408,0.796792,1.105763,2.017339,3.734801,4.425259,2225.000000
9343.839844,13203.717773,6.747221,7.345968,18.163221,190.627472,16049.730469,43939.476562,3.970526,4.120696,0.829125,0.866049,1.259193,2.280185,4.205468,4.642855,2252.000000
10319.222656,11343.706055,8.625217,6.411141,16.593597,26.982714,11236.683594,26138.109375,4.013647,4.054755,0.935770,0.806935,1.219941,1.431086,4.050638,4.417274,2340.000000
9081.410156,7240.254883,4.045865,4.391821,19.686588,159.645157,7172.551758,26916.865234,3.958153,3.859754,0.607011,0.642645,1.294170,2.203156,3.855674,4.430025,2362.000000
4143.434570,7035.250977,6.682462,5.373454,17.025322,134.259811,6800.899902,21421.466797,3.617361,3.847280,0.824937,0.730254,1.231095,2.127946,3.832566,4.330849,2693.000000
8781.596680,7444.425781,7.385554,5.285527,16.087866,205.336914,12016.369141,73675.078125,3.943573,3.871831,0.868383,0.723088,1.206498,2.312467,4.079773,4.867321,2833.000000
4467.557129,10014.429688,5.822099,6.854327,5.041913,93.307770,9832.130859,21225.130859,3.650070,4.000626,0.765080,0.835965,0.702595,1.969918,3.992648,4.326850,2887.000000
4692.814941,6787.531250,5.618572,7.614116,16.109451,176.062973,6630.149414,23828.339844,3.671433,3.831712,0.749626,0.881619,1.207081,2.245668,3.821523,4.377094,3161.000000
11304.906250,12938.998047,8.526538,6.092223,27.146152,205.497269,13210.533203,25189.781250,4.053267,4.111901,0.930773,0.784776,1.433708,2.312806,4.120920,4.401225,3354.000000
5336.856934,8724.199219,4.027363,3.465686,10.148584,136.110062,9262.818359,27729.294922,3.727286,3.940726,0.605021,0.539789,1.006405,2.133890,3.966743,4.442939,3420.000000
9531.858398,7518.519043,7.845031,6.393597,13.768893,88.256599,7584.527344,27069.392578,3.979177,3.876132,0.894595,0.805745,1.138899,1.945747,3.879929,4.432478,3586.000000
4520.483398,6274.998047,4.249392,6.108275,5.208435,132.391068,6218.155762,28656.083984,3.655185,3.797614,0.628327,0.785919,0.716707,2.121859,3.793662,4.457217,3604.000000
4374.036621,6953.874023,7.089515,6.811183,13.491357,179.630859,7252.269043,30457.470703,3.640882,3.842227,0.850617,0.833223,1.130056,2.254381,3.860474,4.483694,3674.000000
3976.259033,6915.863770,3.891678,0.761012,7.940627,50.224854,6795.448242,25932.402344,3.599475,3.839846,0.590137,0.000000,0.899855,1.700919,3.832218,4.413843,4597.000000
4552.544922,5202.372070,4.619441,3.997678,12.270197,140.862106,5203.984375,25841.064453,3.658254,3.716201,0.664589,0.601808,1.088852,2.148794,3.716336,4.412311,4830.000000
4200.443848,7521.152344,5.384208,5.608157,11.829222,124.407272,7316.895508,22385.919922,3.623295,3.876284,0.731122,0.748820,1.072956,2.094846,3.864327,4.349975,5003.000000
8016.012207,8865.243164,7.518155,7.367631,18.992746,128.712173,8884.220703,24988.365234,3.903958,3.947691,0.876111,0.867328,1.278588,2.109620,3.948619,4.397738,5052.000000
6296.270020,8004.651855,7.326963,3.626864,10.925687,101.618446,7917.996582,25091.044922,3.799083,3.903342,0.864924,0.559531,1.038449,2.006973,3.898615,4.399519,5140.000000
4592.864746,6592.299316,4.366574,3.452398,7.841948,60.959347,6753.529297,30939.277344,3.662084,3.819037,0.640141,0.538121,0.894424,1.785040,3.829531,4.490510,5179.000000
4767.416992,8022.753418,4.949401,8.194729,11.853891,97.239532,7905.698242,22386.605469,3.678283,3.904323,0.694553,0.913535,1.073861,1.987843,3.897940,4.349988,5215.000000
9103.917969,13059.090820,8.782488,7.966249,23.171213,216.876266,13250.127930,26375.060547,3.959228,4.115913,0.943618,0.901254,1.364949,2.336212,4.122220,4.421194,5371.000000
14907.860352,22886.121094,9.871048,8.084971,23.118790,103.875740,22177.150391,8971.487305,4.173415,4.359572,0.994363,0.907678,1.363965,2.016514,4.345906,3.952864,5562.000000
5433.220703,8777.702148,5.600070,5.889292,41.124741,133.929855,8457.433594,19725.132812,3.735057,3.943381,0.748193,0.770063,1.614103,2.126877,3.927239,4.295020,5682.000000
5128.824707,4887.180176,3.490792,3.698418,12.063586,57.357540,4939.938477,24911.970703,3.710018,3.689058,0.542924,0.568016,1.081476,1.758590,3.693722,4.396408,5741.000000
9656.870117,10056.442383,5.476720,5.295599,17.241184,251.922958,9894.553711,24751.390625,3.984836,4.002444,0.738521,0.723915,1.236567,2.401268,3.995396,4.393600,5764.000000
8978.311523,9451.955078,7.820362,6.087984,33.362968,209.490707,6538.116211,99998.000000,3.953195,3.975522,0.893227,0.784473,1.523265,2.321165,3.815453,4.999991,5902.000000
5308.600586,5988.043945,4.070535,5.249424,12.896195,112.155579,6199.644531,29955.662109,3.724980,3.777285,0.609652,0.720112,1.110462,2.049821,3.792367,4.476479,6017.000000
5280.625000,6706.866699,6.472768,10.195216,14.777276,168.640427,6717.352539,26480.119141,3.722685,3.826520,0.811090,1.008396,1.169594,2.226962,3.827198,4.422920,6093.000000
4816.093750,5648.348633,3.453787,5.540467,12.547733,124.459694,5680.969238,27894.281250,3.682695,3.751921,0.538296,0.743546,1.098565,2.095029,3.754422,4.445515,6148.000000
4749.821289,3632.860107,6.374088,5.232188,11.712040,25.961996,3642.509277,24422.953125,3.676677,3.560249,0.804418,0.718683,1.068633,1.414338,3.561401,4.387798,6302.000000
8399.885742,8901.387695,6.525191,6.553622,14.441149,71.209694,9699.345703,31399.386719,3.924273,3.949458,0.814593,0.816481,1.159602,1.852539,3.986742,4.496921,6814.000000
8325.323242,12107.131836,10.953440,9.305278,23.436415,484.819244,11293.750000,15642.437500,3.920401,4.083041,1.039551,0.968729,1.369891,2.685580,4.052838,4.194304,6935.000000
6033.593750,7569.456055,7.117269,6.928343,13.019545,24.608234,7528.957520,24519.851562,3.780576,3.879065,0.852313,0.840629,1.114596,1.391080,3.876735,4.389518,7072.000000
9674.194336,12341.206055,7.533574,8.315697,11.378996,219.210648,12358.027344,26099.509766,3.985615,4.091358,0.877001,0.919899,1.056104,2.340862,4.091949,4.416632,7104.000000
9336.916016,9414.648438,5.211518,4.995315,24.105585,122.112968,15213.864258,76310.250000,3.970203,3.973804,0.716964,0.698563,1.382118,2.086762,4.182240,4.882583,7483.000000
7318.646484,10070.769531,6.266157,3.360101,5.159095,105.084564,7555.500977,99998.000000,3.864431,4.003063,0.797001,0.526352,0.712574,2.021539,3.878263,4.999991,7543.000000
7896.326172,5951.609863,5.476720,5.573135,36.887684,8.563542,5817.806641,23079.220703,3.897425,3.774634,0.738521,0.746100,1.566881,0.932653,3.764759,4.363221,7612.000000
6694.503906,9872.222656,3.962604,3.978666,8.430942,156.875961,9499.834961,20242.009766,3.825718,3.994415,0.597981,0.599737,0.925876,2.195556,3.977716,4.306253,7804.000000
4319.454590,2506.287109,7.777189,7.727196,9.143286,84.179901,2597.352295,29357.542969,3.635429,3.399031,0.890823,0.888022,0.961102,1.925208,3.414531,4.467720,7871.000000
5074.535645,3562.865479,4.354239,3.996517,16.328396,62.374783,3604.501465,27201.654297,3.705396,3.551800,0.638912,0.601682,1.212944,1.795009,3.556845,4.434595,7939.000000
5665.704102,5022.392578,6.346334,6.851172,20.805984,33.612751,4997.700195,23647.839844,3.753254,3.700911,0.802523,0.835765,1.318188,1.526504,3.698770,4.373792,8031.000000
12838.372070,21197.634766,10.965775,9.640025,35.786789,1042.581177,19933.373047,21522.806641,4.108510,4.326287,1.040039,0.984078,1.553723,3.018110,4.299581,4.332899,8221.000000
5076.124023,5899.438965,3.398280,5.700865,22.344770,98.133820,5893.662598,27966.271484,3.705532,3.770811,0.531259,0.755941,1.349176,1.991819,3.770385,4.446635,8257.000000
5619.395508,9618.307617,7.619918,3.680427,9.534921,201.223206,9806.919922,24247.017578,3.749690,3.983099,0.881950,0.565898,0.979317,2.303678,3.991533,4.384658,8318.000000
4299.480957,3739.779541,4.582436,7.181154,26.143938,141.876648,3879.546143,29754.652344,3.633416,3.572846,0.661096,0.856194,1.417371,2.151911,3.588781,4.473555,8420.000000
